"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:16:40.043,3 Dec 2013 01:33:42.097,1022.054
2,3 Dec 2013 02:57:56.872,3 Dec 2013 03:15:05.816,1028.944
3,3 Dec 2013 04:38:27.550,3 Dec 2013 04:55:30.411,1022.860
4,3 Dec 2013 06:19:04.404,3 Dec 2013 06:36:16.809,1032.405
5,3 Dec 2013 08:01:18.355,3 Dec 2013 08:18:00.019,1001.664
6,3 Dec 2013 09:46:24.824,3 Dec 2013 10:00:58.484,873.660
7,3 Dec 2013 11:31:26.310,3 Dec 2013 11:48:40.573,1034.263
8,3 Dec 2013 13:16:05.932,3 Dec 2013 13:29:25.561,799.629
9,3 Dec 2013 19:38:37.787,3 Dec 2013 19:50:48.859,731.072
10,3 Dec 2013 21:19:01.736,3 Dec 2013 21:35:28.038,986.303
11,3 Dec 2013 23:01:43.830,3 Dec 2013 23:17:10.382,926.552
12,4 Dec 2013 00:42:36.847,4 Dec 2013 00:57:28.708,891.862
13,4 Dec 2013 02:21:54.282,4 Dec 2013 02:37:40.136,945.854
14,4 Dec 2013 04:01:12.766,4 Dec 2013 04:18:14.096,1021.329
15,4 Dec 2013 05:42:48.535,4 Dec 2013 05:58:34.368,945.832
16,4 Dec 2013 07:31:31.228,4 Dec 2013 07:47:28.398,957.170
17,4 Dec 2013 09:18:28.668,4 Dec 2013 09:36:29.678,1081.010
18,4 Dec 2013 11:05:25.273,4 Dec 2013 11:16:58.144,692.871
19,5 Dec 2013 01:47:35.019,5 Dec 2013 01:59:52.276,737.258
20,5 Dec 2013 03:32:08.915,5 Dec 2013 03:50:27.888,1098.973
21,5 Dec 2013 05:20:57.046,5 Dec 2013 05:39:24.500,1107.454
22,5 Dec 2013 07:09:12.687,5 Dec 2013 07:26:51.663,1058.976
23,5 Dec 2013 08:59:51.630,5 Dec 2013 09:05:28.394,336.764
24,6 Dec 2013 01:26:45.464,6 Dec 2013 01:43:35.815,1010.350
25,6 Dec 2013 03:13:49.143,6 Dec 2013 03:32:14.302,1105.159
26,6 Dec 2013 05:02:23.750,6 Dec 2013 05:19:52.953,1049.203
27,6 Dec 2013 06:54:39.890,6 Dec 2013 06:59:59.408,319.518
28,6 Dec 2013 23:19:52.330,6 Dec 2013 23:36:55.735,1023.405
29,7 Dec 2013 01:06:33.751,7 Dec 2013 01:25:00.335,1106.584
30,7 Dec 2013 02:53:27.237,7 Dec 2013 03:10:32.270,1025.032
31,7 Dec 2013 04:33:52.792,7 Dec 2013 04:50:28.312,995.520
32,7 Dec 2013 06:14:09.172,7 Dec 2013 06:30:49.485,1000.313
33,7 Dec 2013 07:55:18.679,7 Dec 2013 08:12:36.485,1037.806
34,7 Dec 2013 09:38:21.280,7 Dec 2013 09:56:03.189,1061.909
35,7 Dec 2013 11:23:13.754,7 Dec 2013 11:41:06.657,1072.904
36,7 Dec 2013 13:08:22.215,7 Dec 2013 13:22:32.038,849.823
37,7 Dec 2013 19:32:10.825,7 Dec 2013 19:39:53.444,462.619
38,7 Dec 2013 21:10:03.787,7 Dec 2013 21:27:53.800,1070.012

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:00:00.000,3 Dec 2013 01:08:00.558,480.558
2,3 Dec 2013 02:32:42.939,3 Dec 2013 02:49:54.300,1031.361
3,3 Dec 2013 04:13:22.259,3 Dec 2013 04:30:24.639,1022.380
4,3 Dec 2013 05:53:49.876,3 Dec 2013 06:11:00.556,1030.680
5,3 Dec 2013 07:35:30.761,3 Dec 2013 07:52:28.116,1017.355
6,3 Dec 2013 09:19:50.526,3 Dec 2013 09:35:04.836,914.309
7,3 Dec 2013 11:05:45.593,3 Dec 2013 11:21:43.813,958.219
8,3 Dec 2013 12:49:31.208,3 Dec 2013 13:05:22.558,951.350
9,3 Dec 2013 19:16:37.309,3 Dec 2013 19:22:43.112,365.803
10,3 Dec 2013 20:53:06.708,3 Dec 2013 21:09:43.562,996.854
11,3 Dec 2013 22:36:12.828,3 Dec 2013 22:51:55.288,942.460
12,4 Dec 2013 00:17:34.342,4 Dec 2013 00:32:27.659,893.317
13,4 Dec 2013 01:57:09.902,4 Dec 2013 02:12:34.933,925.031
14,4 Dec 2013 03:36:15.693,4 Dec 2013 03:53:04.628,1008.935
15,4 Dec 2013 05:17:03.496,4 Dec 2013 05:33:34.774,991.278
16,4 Dec 2013 07:04:09.950,4 Dec 2013 07:19:37.787,927.837
17,4 Dec 2013 08:51:57.385,4 Dec 2013 09:09:50.507,1073.122
18,4 Dec 2013 10:38:15.653,4 Dec 2013 10:53:03.763,888.111
19,5 Dec 2013 01:24:29.428,5 Dec 2013 01:31:46.420,436.993
20,5 Dec 2013 03:05:20.414,5 Dec 2013 03:23:12.228,1071.814
21,5 Dec 2013 04:53:41.278,5 Dec 2013 05:12:09.706,1108.428
22,5 Dec 2013 06:42:14.822,5 Dec 2013 07:00:24.754,1089.932
23,5 Dec 2013 08:30:52.532,5 Dec 2013 08:42:50.959,718.428
24,6 Dec 2013 01:00:50.256,6 Dec 2013 01:16:13.737,923.481
25,6 Dec 2013 02:46:45.511,6 Dec 2013 03:05:05.874,1100.363
26,6 Dec 2013 04:35:13.887,6 Dec 2013 04:53:15.463,1081.576
27,6 Dec 2013 06:25:01.689,6 Dec 2013 06:36:53.334,711.645
28,6 Dec 2013 22:54:15.184,6 Dec 2013 23:09:52.138,936.954
29,7 Dec 2013 00:39:28.062,7 Dec 2013 00:57:52.933,1104.871
30,7 Dec 2013 02:28:17.322,7 Dec 2013 02:45:24.332,1027.010
31,7 Dec 2013 04:08:48.591,7 Dec 2013 04:25:30.793,1002.203
32,7 Dec 2013 05:49:03.171,7 Dec 2013 06:05:37.378,994.207
33,7 Dec 2013 07:29:52.197,7 Dec 2013 07:47:00.567,1028.370
