"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 05:29:41.988,3 Dec 2013 05:41:54.018,732.030
2,3 Dec 2013 07:10:30.066,3 Dec 2013 07:20:57.329,627.262
3,3 Dec 2013 12:26:42.115,3 Dec 2013 12:30:47.573,245.458
4,3 Dec 2013 13:59:55.645,3 Dec 2013 14:12:29.113,753.469
5,3 Dec 2013 15:37:27.120,3 Dec 2013 15:47:58.686,631.566
6,3 Dec 2013 17:16:42.493,3 Dec 2013 17:22:32.096,349.603
7,4 Dec 2013 04:47:02.658,4 Dec 2013 04:55:34.762,512.104
8,4 Dec 2013 06:25:31.198,4 Dec 2013 06:38:51.116,799.918
9,4 Dec 2013 13:28:14.109,4 Dec 2013 13:30:53.657,159.548
10,4 Dec 2013 14:59:56.418,4 Dec 2013 15:12:07.610,731.192
11,5 Dec 2013 04:12:46.654,5 Dec 2013 04:19:05.431,378.777
12,5 Dec 2013 05:44:14.572,5 Dec 2013 05:56:00.959,706.387
13,5 Dec 2013 07:22:28.496,5 Dec 2013 07:34:18.537,710.041
14,5 Dec 2013 14:27:47.797,5 Dec 2013 14:33:29.370,341.573
15,5 Dec 2013 16:00:36.165,5 Dec 2013 16:11:58.238,682.074
16,6 Dec 2013 03:42:42.829,6 Dec 2013 03:49:51.612,428.782
17,6 Dec 2013 05:13:43.668,6 Dec 2013 05:26:03.826,740.157
18,6 Dec 2013 06:47:33.497,6 Dec 2013 06:58:49.341,675.845
19,6 Dec 2013 08:24:00.664,6 Dec 2013 08:28:16.610,255.946
20,6 Dec 2013 15:27:17.297,6 Dec 2013 15:36:01.015,523.718
21,6 Dec 2013 17:01:59.526,6 Dec 2013 17:11:43.004,583.478
22,7 Dec 2013 03:11:36.272,7 Dec 2013 03:21:06.813,570.541
23,7 Dec 2013 04:43:24.181,7 Dec 2013 04:55:50.505,746.324
24,7 Dec 2013 06:18:37.369,7 Dec 2013 06:27:07.784,510.415
25,7 Dec 2013 16:27:02.822,7 Dec 2013 16:37:51.680,648.858
26,7 Dec 2013 18:04:20.286,7 Dec 2013 18:11:04.000,403.714
27,8 Dec 2013 01:09:57.219,8 Dec 2013 01:16:06.062,368.843
28,8 Dec 2013 02:40:12.166,8 Dec 2013 02:51:51.273,699.107
29,8 Dec 2013 04:13:17.605,8 Dec 2013 04:25:26.831,729.227
30,8 Dec 2013 05:50:20.968,8 Dec 2013 05:55:42.202,321.235
31,8 Dec 2013 17:27:01.051,8 Dec 2013 17:39:00.853,719.801
32,9 Dec 2013 02:04:53.466,9 Dec 2013 02:17:17.966,744.500
33,9 Dec 2013 03:43:27.073,9 Dec 2013 03:54:56.105,689.031
34,9 Dec 2013 05:21:08.136,9 Dec 2013 05:25:48.589,280.453
35,9 Dec 2013 18:27:00.516,9 Dec 2013 18:39:34.349,753.832
36,10 Dec 2013 03:00:41.032,10 Dec 2013 03:14:03.037,802.005
