"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","adsb_out6-To-adsb_satrcvr2 - Flux Density (dBW/m^2)","adsb_out6-To-adsb_satrcvr2 - g/T (dB/K)","adsb_out6-To-adsb_satrcvr2 - C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Dec 2013 01:17:04.184,23.979,1.090024,-138.626,-116.421682,-127.790634,-37.817392,8000.000,-106.8483,-97.8174,4.999927e-001
3 Dec 2013 01:18:04.000,23.979,1.090024,-137.368,-115.163908,-128.527933,-37.296918,8000.000,-106.3278,-97.2969,4.999923e-001
3 Dec 2013 01:19:04.000,23.979,1.090023,-135.919,-113.715043,-127.195983,-34.516102,8000.000,-103.5470,-94.5161,4.999894e-001
3 Dec 2013 01:20:04.000,23.979,1.090022,-134.246,-112.041708,-122.727361,-28.374145,8000.000,-97.4050,-88.3741,4.999785e-001
3 Dec 2013 01:21:04.000,23.979,1.090020,-132.336,-110.131627,-113.690492,-17.427195,8000.000,-86.4581,-77.4272,4.999241e-001
3 Dec 2013 01:22:04.000,23.979,1.090015,-130.311,-108.107210,-99.324207,-1.036492,8000.000,-70.0674,-61.0365,4.994993e-001
3 Dec 2013 01:23:04.000,23.979,1.090007,-128.735,-106.530817,-84.525643,15.338464,8000.000,-53.6924,-44.6615,4.967013e-001
3 Dec 2013 01:24:04.000,23.979,1.089994,-128.651,-106.446297,-83.631723,16.316904,8000.000,-52.7140,-43.6831,4.963080e-001
3 Dec 2013 01:25:04.000,23.979,1.089985,-130.135,-107.930325,-97.804913,0.659686,8000.000,-68.3712,-59.3403,4.993913e-001
3 Dec 2013 01:26:04.000,23.979,1.089980,-132.154,-109.949384,-112.574152,-16.128612,8000.000,-85.1595,-76.1286,4.999119e-001
3 Dec 2013 01:27:04.000,23.979,1.089978,-134.086,-111.881565,-122.099065,-27.585705,8000.000,-96.6166,-87.5857,4.999764e-001
3 Dec 2013 01:28:04.000,23.979,1.089977,-135.784,-113.579741,-126.915631,-34.100447,8000.000,-103.1313,-94.1004,4.999889e-001
3 Dec 2013 01:29:04.000,23.979,1.089976,-137.255,-115.050449,-128.470199,-37.125724,8000.000,-106.1566,-97.1257,4.999921e-001
3 Dec 2013 01:30:04.000,23.979,1.089976,-138.534,-116.330127,-127.865364,-37.800567,8000.000,-106.8315,-97.8006,4.999927e-001
3 Dec 2013 01:30:08.649,23.979,1.089976,-138.627,-116.422378,-127.751338,-37.778792,8000.000,-106.8097,-97.7788,4.999927e-001
3 Dec 2013 02:52:01.114,23.979,1.090026,-138.629,-116.424366,-127.622741,-37.652183,8000.000,-106.6831,-97.6522,4.999926e-001
3 Dec 2013 02:53:01.000,23.979,1.090026,-137.290,-115.085649,-128.324857,-37.015581,8000.000,-106.0465,-97.0156,4.999920e-001
3 Dec 2013 02:54:01.000,23.979,1.090026,-135.705,-113.500311,-126.572653,-33.678040,8000.000,-102.7089,-93.6780,4.999883e-001
3 Dec 2013 02:55:01.000,23.979,1.090025,-133.780,-111.575695,-120.637997,-25.818768,8000.000,-94.8497,-85.8188,4.999711e-001
3 Dec 2013 02:56:01.000,23.979,1.090024,-131.365,-109.160996,-107.082144,-9.848216,8000.000,-78.8791,-69.8482,4.998184e-001
3 Dec 2013 02:57:01.000,23.979,1.090022,-128.252,-106.047698,-78.860531,21.486696,8000.000,-47.5442,-38.5133,4.933052e-001
3 Dec 2013 02:58:01.000,23.979,1.090014,-124.605,-102.400990,-28.684019,75.309916,8000.000,6.2790,15.3099,8.497133e-017
3 Dec 2013 02:59:01.000,23.979,1.089993,-123.645,-101.440812,-12.092702,92.861409,8000.000,23.8305,32.8614,1.000000e-030
3 Dec 2013 03:00:01.000,23.979,1.089980,-126.965,-104.760837,-63.364395,38.269692,8000.000,-30.7612,-21.7303,4.538748e-001
3 Dec 2013 03:01:01.000,23.979,1.089976,-130.353,-108.149119,-99.265153,-1.019348,8000.000,-70.0502,-61.0193,4.994983e-001
3 Dec 2013 03:02:01.000,23.979,1.089975,-132.992,-110.788091,-116.955106,-21.348273,8000.000,-90.3792,-81.3483,4.999517e-001
3 Dec 2013 03:03:01.000,23.979,1.089974,-135.071,-112.866464,-125.057910,-31.529450,8000.000,-100.5603,-91.5295,4.999850e-001
3 Dec 2013 03:04:01.000,23.979,1.089974,-136.764,-114.559732,-128.028412,-36.193220,8000.000,-105.2241,-96.1932,4.999913e-001
3 Dec 2013 03:05:01.000,23.979,1.089974,-138.184,-115.979852,-128.051062,-37.635990,8000.000,-106.6669,-97.6360,4.999926e-001
3 Dec 2013 03:05:21.614,23.979,1.089974,-138.623,-116.418393,-127.604032,-37.627500,8000.000,-106.6584,-97.6275,4.999926e-001
3 Dec 2013 04:26:21.764,23.979,1.090026,-138.627,-116.422399,-127.565372,-37.592847,8000.000,-106.6237,-97.5928,4.999926e-001
3 Dec 2013 04:27:21.000,23.979,1.090026,-137.305,-115.100325,-128.259537,-36.964937,8000.000,-105.9958,-96.9649,4.999920e-001
3 Dec 2013 04:28:21.000,23.979,1.090025,-135.728,-113.523520,-126.538473,-33.667069,8000.000,-102.6980,-93.6671,4.999883e-001
3 Dec 2013 04:29:21.000,23.979,1.090025,-133.824,-111.620260,-120.726895,-25.952231,8000.000,-94.9831,-85.9522,4.999716e-001
3 Dec 2013 04:30:21.000,23.979,1.090024,-131.466,-109.261840,-107.668424,-10.535340,8000.000,-79.5662,-70.5353,4.998323e-001
3 Dec 2013 04:31:21.000,23.979,1.090021,-128.519,-106.315111,-81.630663,18.449150,8000.000,-50.5817,-41.5508,4.952808e-001
3 Dec 2013 04:32:21.000,23.979,1.090012,-125.367,-103.163249,-40.610824,62.620851,8000.000,-6.4100,2.6209,2.791842e-002
3 Dec 2013 04:33:21.000,23.979,1.089993,-124.805,-102.600333,-31.730200,72.064390,8000.000,3.0335,12.0644,7.057915e-009
3 Dec 2013 04:34:21.000,23.979,1.089981,-127.677,-105.473172,-72.064012,28.857741,8000.000,-40.1732,-31.1423,4.843613e-001
3 Dec 2013 04:35:21.000,23.979,1.089977,-130.768,-108.563321,-102.497034,-4.665430,8000.000,-73.6963,-64.6654,4.996703e-001
3 Dec 2013 04:36:21.000,23.979,1.089975,-133.268,-111.063600,-118.230770,-22.899446,8000.000,-91.9303,-82.8994,4.999596e-001
3 Dec 2013 04:37:21.000,23.979,1.089975,-135.274,-113.069819,-125.516938,-32.191833,8000.000,-101.2227,-92.1918,4.999861e-001
3 Dec 2013 04:38:21.000,23.979,1.089974,-136.925,-114.720687,-128.088688,-36.414451,8000.000,-105.4454,-96.4145,4.999915e-001
3 Dec 2013 04:39:21.000,23.979,1.089974,-138.318,-116.113436,-127.891923,-37.610435,8000.000,-106.6413,-97.6104,4.999926e-001
3 Dec 2013 04:39:35.599,23.979,1.089974,-138.625,-116.421096,-127.556830,-37.583002,8000.000,-106.6139,-97.5830,4.999925e-001
3 Dec 2013 06:00:39.090,23.979,1.090026,-138.624,-116.420170,-127.623467,-37.648713,8000.000,-106.6796,-97.6487,4.999926e-001
3 Dec 2013 06:01:39.000,23.979,1.090026,-137.285,-115.080576,-128.321150,-37.006802,8000.000,-106.0377,-97.0068,4.999920e-001
3 Dec 2013 06:02:39.000,23.979,1.090026,-135.699,-113.495210,-126.562755,-33.663041,8000.000,-102.6939,-93.6630,4.999883e-001
3 Dec 2013 06:03:39.000,23.979,1.090025,-133.776,-111.571319,-120.624144,-25.800539,8000.000,-94.8314,-85.8005,4.999711e-001
3 Dec 2013 06:04:39.000,23.979,1.090024,-131.363,-109.159181,-107.080354,-9.844611,8000.000,-78.8755,-69.8446,4.998184e-001
3 Dec 2013 06:05:39.000,23.979,1.090022,-128.258,-106.053722,-78.949630,21.391572,8000.000,-47.6393,-38.6084,4.933781e-001
3 Dec 2013 06:06:39.000,23.979,1.090013,-124.634,-102.429366,-29.192028,74.773531,8000.000,5.7426,14.7735,4.666296e-015
3 Dec 2013 06:07:39.000,23.979,1.089993,-123.685,-101.480425,-12.860447,92.054052,8000.000,23.0232,32.0541,1.000000e-030
3 Dec 2013 06:08:39.000,23.979,1.089980,-126.977,-104.773199,-63.573252,38.048474,8000.000,-30.9824,-21.9515,4.550297e-001
3 Dec 2013 06:09:39.000,23.979,1.089976,-130.352,-108.147495,-99.293161,-1.045731,8000.000,-70.0766,-61.0457,4.994998e-001
3 Dec 2013 06:10:39.000,23.979,1.089975,-132.985,-110.780403,-116.952137,-21.337616,8000.000,-90.3685,-81.3376,4.999516e-001
3 Dec 2013 06:11:39.000,23.979,1.089975,-135.060,-112.855510,-125.060887,-31.521472,8000.000,-100.5524,-91.5215,4.999850e-001
3 Dec 2013 06:12:39.000,23.979,1.089974,-136.751,-114.546652,-128.047829,-36.199556,8000.000,-105.2305,-96.1996,4.999913e-001
3 Dec 2013 06:13:39.000,23.979,1.089974,-138.169,-115.965193,-128.090366,-37.660634,8000.000,-106.6915,-97.6606,4.999926e-001
3 Dec 2013 06:14:00.554,23.979,1.089974,-138.627,-116.422705,-127.626031,-37.653812,8000.000,-106.6847,-97.6538,4.999926e-001
3 Dec 2013 07:36:05.608,23.979,1.090024,-138.629,-116.425136,-127.778876,-37.809088,8000.000,-106.8400,-97.8091,4.999927e-001
3 Dec 2013 07:37:05.000,23.979,1.090024,-137.395,-115.191205,-128.527099,-37.323379,8000.000,-106.3543,-97.3234,4.999923e-001
3 Dec 2013 07:38:05.000,23.979,1.090023,-135.975,-113.770806,-127.292282,-34.668163,8000.000,-103.6991,-94.6682,4.999896e-001
3 Dec 2013 07:39:05.000,23.979,1.090022,-134.355,-112.150434,-123.123254,-28.878763,8000.000,-97.9097,-88.8788,4.999797e-001
