"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","adsb_out6212-To-adsb_satrcvr2 - Flux Density (dBW/m^2)","adsb_out6212-To-adsb_satrcvr2 - g/T (dB/K)","adsb_out6212-To-adsb_satrcvr2 - C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Dec 2013 04:04:50.548,23.979,1.090008,-140.474,-118.269855,-110.222664,-22.097594,8000.000,-91.1285,-82.0976,4.999557e-001
3 Dec 2013 04:05:50.000,23.979,1.090007,-140.173,-117.968565,-110.532836,-22.106476,8000.000,-91.1374,-82.1065,4.999557e-001
3 Dec 2013 04:06:50.000,23.979,1.090005,-139.937,-117.732845,-110.693253,-22.031174,8000.000,-91.0621,-82.0312,4.999553e-001
3 Dec 2013 04:07:50.000,23.979,1.090003,-139.784,-117.579651,-110.759001,-21.943728,8000.000,-90.9746,-81.9437,4.999549e-001
3 Dec 2013 04:08:50.000,23.979,1.090000,-139.723,-117.519172,-110.776993,-21.901240,8000.000,-90.9321,-81.9012,4.999547e-001
3 Dec 2013 04:09:50.000,23.979,1.089998,-139.760,-117.555904,-110.767787,-21.928766,8000.000,-90.9597,-81.9288,4.999548e-001
3 Dec 2013 04:10:50.000,23.979,1.089996,-139.892,-117.687701,-110.718423,-22.011200,8000.000,-91.0421,-82.0112,4.999552e-001
3 Dec 2013 04:11:50.000,23.979,1.089994,-140.110,-117.906236,-110.586253,-22.097565,8000.000,-91.1285,-82.0976,4.999557e-001
3 Dec 2013 04:12:50.000,23.979,1.089992,-140.403,-118.198668,-110.311821,-22.115565,8000.000,-91.1465,-82.1156,4.999558e-001
3 Dec 2013 04:12:58.448,23.979,1.089992,-140.449,-118.244923,-110.258191,-22.108190,8000.000,-91.1391,-82.1082,4.999557e-001
3 Dec 2013 05:49:49.417,23.979,1.090022,-140.450,-118.246165,-110.343971,-22.195212,8000.000,-91.2261,-82.1952,4.999562e-001
3 Dec 2013 05:50:49.000,23.979,1.090022,-139.547,-117.342490,-110.900409,-21.847975,8000.000,-90.8789,-81.8480,4.999544e-001
3 Dec 2013 05:51:49.000,23.979,1.090022,-138.534,-116.329662,-110.261861,-20.196599,8000.000,-89.2275,-80.1966,4.999448e-001
3 Dec 2013 05:52:49.000,23.979,1.090022,-137.398,-115.193715,-107.954031,-16.752822,8000.000,-85.7837,-76.7528,4.999180e-001
3 Dec 2013 05:53:49.000,23.979,1.090021,-136.116,-113.911367,-103.307617,-10.824059,8000.000,-79.8550,-70.8241,4.998377e-001
3 Dec 2013 05:54:49.000,23.979,1.090020,-134.664,-112.459927,-95.389734,-1.454737,8000.000,-70.4856,-61.4547,4.995228e-001
3 Dec 2013 05:55:49.000,23.979,1.090018,-133.037,-110.833223,-83.064374,12.497328,8000.000,-56.5336,-47.5027,4.976216e-001
3 Dec 2013 05:56:49.000,23.979,1.090015,-131.299,-109.094759,-65.698964,31.601201,8000.000,-37.4297,-28.3988,4.785575e-001
3 Dec 2013 05:57:49.000,23.979,1.090010,-129.721,-107.516995,-46.012317,52.865612,8000.000,-16.1653,-7.1344,2.669685e-001
3 Dec 2013 05:58:49.000,23.979,1.090001,-128.931,-106.726561,-34.687435,64.980928,8000.000,-4.0500,4.9809,6.047660e-003
3 Dec 2013 05:59:49.000,23.979,1.089992,-129.451,-107.247020,-42.258163,56.889742,8000.000,-12.1412,-3.1103,1.614398e-001
3 Dec 2013 06:00:49.000,23.979,1.089986,-130.921,-108.717246,-61.338766,36.338912,8000.000,-32.6920,-23.6611,4.630386e-001
3 Dec 2013 06:01:49.000,23.979,1.089982,-132.662,-110.458151,-79.693903,16.242870,8000.000,-52.7880,-43.7571,4.963393e-001
3 Dec 2013 06:02:49.000,23.979,1.089980,-134.327,-112.122998,-93.143029,1.128897,8000.000,-67.9020,-58.8711,4.993575e-001
3 Dec 2013 06:03:49.000,23.979,1.089979,-135.822,-113.617517,-101.936899,-9.159492,8000.000,-78.1904,-69.1595,4.998035e-001
3 Dec 2013 06:04:49.000,23.979,1.089978,-137.143,-114.939085,-107.206704,-15.750865,8000.000,-84.7818,-75.7509,4.999080e-001
3 Dec 2013 06:05:49.000,23.979,1.089978,-138.313,-116.108820,-109.947378,-19.661273,8000.000,-88.6922,-79.6613,4.999413e-001
3 Dec 2013 06:06:49.000,23.979,1.089978,-139.355,-117.150433,-110.883994,-21.639503,8000.000,-90.6704,-81.6395,4.999533e-001
3 Dec 2013 06:07:49.000,23.979,1.089978,-140.289,-118.084729,-110.523618,-22.213422,8000.000,-91.2443,-82.2134,4.999563e-001
3 Dec 2013 06:07:57.740,23.979,1.089978,-140.417,-118.212933,-110.385565,-22.203573,8000.000,-91.2345,-82.2036,4.999562e-001
3 Dec 2013 07:41:02.520,23.979,1.090014,-140.427,-118.222523,-110.405404,-22.233003,8000.000,-91.2639,-82.2330,4.999564e-001
3 Dec 2013 07:42:02.000,23.979,1.090013,-139.883,-117.678336,-110.852569,-22.135981,8000.000,-91.1669,-82.1360,4.999559e-001
3 Dec 2013 07:43:02.000,23.979,1.090011,-139.369,-117.165009,-110.921367,-21.691451,8000.000,-90.7224,-81.6915,4.999536e-001
