"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","adsb_out6211-To-adsb_satrcvr2 - Flux Density (dBW/m^2)","adsb_out6211-To-adsb_satrcvr2 - g/T (dB/K)","adsb_out6211-To-adsb_satrcvr2 - C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Dec 2013 07:43:11.084,23.979,1.090021,-139.880,-117.675878,-115.222796,-26.503750,8000.000,-95.5346,-86.5037,4.999733e-001
3 Dec 2013 07:44:11.000,23.979,1.090020,-138.978,-116.774258,-115.745400,-26.124734,8000.000,-95.1556,-86.1247,4.999721e-001
3 Dec 2013 07:45:11.000,23.979,1.090019,-138.003,-115.798943,-115.167402,-24.571421,8000.000,-93.6023,-84.5714,4.999667e-001
3 Dec 2013 07:46:11.000,23.979,1.090018,-136.961,-114.756503,-113.232441,-21.594019,8000.000,-90.6249,-81.5940,4.999530e-001
3 Dec 2013 07:47:11.000,23.979,1.090016,-135.873,-113.669256,-109.752221,-17.026553,8000.000,-86.0575,-77.0266,4.999205e-001
3 Dec 2013 07:48:11.000,23.979,1.090014,-134.798,-112.593456,-104.818350,-11.016881,8000.000,-80.0478,-71.0169,4.998413e-001
3 Dec 2013 07:49:11.000,23.979,1.090010,-133.847,-111.642358,-99.198600,-4.446034,8000.000,-73.4769,-64.4460,4.996618e-001
3 Dec 2013 07:50:11.000,23.979,1.090005,-133.198,-110.993450,-94.673959,0.727515,8000.000,-68.3034,-59.2725,4.993865e-001
3 Dec 2013 07:51:11.000,23.979,1.089999,-133.032,-110.828115,-93.431052,2.135757,8000.000,-66.8951,-57.8642,4.992785e-001
3 Dec 2013 07:52:11.000,23.979,1.089993,-133.407,-111.202562,-96.196124,-1.003761,8000.000,-70.0347,-61.0038,4.994974e-001
3 Dec 2013 07:53:11.000,23.979,1.089988,-134.201,-111.996593,-101.434937,-7.036606,8000.000,-76.0675,-67.0366,4.997490e-001
3 Dec 2013 07:54:11.000,23.979,1.089985,-135.221,-113.017034,-106.944247,-13.566357,8000.000,-82.5973,-73.5664,4.998817e-001
3 Dec 2013 07:55:11.000,23.979,1.089983,-136.314,-114.109499,-111.347659,-19.062233,8000.000,-88.0931,-79.0622,4.999371e-001
3 Dec 2013 07:56:11.000,23.979,1.089981,-137.390,-115.185788,-114.200274,-22.991138,8000.000,-92.0220,-82.9911,4.999600e-001
3 Dec 2013 07:57:11.000,23.979,1.089980,-138.410,-116.205584,-115.558842,-25.369501,8000.000,-94.4004,-85.3695,4.999696e-001
3 Dec 2013 07:58:11.000,23.979,1.089980,-139.359,-117.154791,-115.654981,-26.414847,8000.000,-95.4457,-86.4148,4.999730e-001
