"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 02:04:58.742,3 Dec 2013 02:21:08.730,969.989
2,3 Dec 2013 03:54:32.086,3 Dec 2013 04:10:22.776,950.690
3,3 Dec 2013 05:42:36.064,3 Dec 2013 05:59:55.101,1039.037
4,3 Dec 2013 07:32:15.812,3 Dec 2013 07:47:00.684,884.872
5,3 Dec 2013 09:25:36.463,3 Dec 2013 09:34:00.200,503.736
6,3 Dec 2013 11:13:29.997,3 Dec 2013 11:26:58.091,808.094
7,3 Dec 2013 12:58:42.220,3 Dec 2013 13:15:34.311,1012.091
8,3 Dec 2013 14:45:33.595,3 Dec 2013 14:57:02.626,689.032
9,3 Dec 2013 16:29:00.887,3 Dec 2013 16:38:57.579,596.692
10,3 Dec 2013 18:14:00.318,3 Dec 2013 18:21:02.053,421.736
11,3 Dec 2013 20:00:20.835,3 Dec 2013 20:03:11.778,170.943
12,3 Dec 2013 21:44:11.042,3 Dec 2013 21:48:29.459,258.417
13,3 Dec 2013 23:25:38.666,3 Dec 2013 23:35:14.964,576.298
14,4 Dec 2013 01:06:41.461,4 Dec 2013 01:20:13.173,811.712
15,4 Dec 2013 02:47:25.775,4 Dec 2013 03:03:00.526,934.751
16,4 Dec 2013 04:32:04.121,4 Dec 2013 04:49:22.848,1038.727
17,4 Dec 2013 06:20:42.873,4 Dec 2013 06:37:06.782,983.909
18,4 Dec 2013 08:14:09.689,4 Dec 2013 08:20:29.928,380.239
19,4 Dec 2013 11:59:17.646,4 Dec 2013 12:03:16.977,239.332
20,4 Dec 2013 13:39:53.416,4 Dec 2013 13:56:34.643,1001.228
21,4 Dec 2013 15:27:54.463,4 Dec 2013 15:36:48.548,534.086
22,5 Dec 2013 01:55:53.946,5 Dec 2013 02:06:33.617,639.670
23,5 Dec 2013 03:34:42.303,5 Dec 2013 03:50:08.262,925.959
24,5 Dec 2013 05:14:44.936,5 Dec 2013 05:30:38.880,953.943
25,5 Dec 2013 06:59:16.580,5 Dec 2013 07:13:12.158,835.578
26,5 Dec 2013 14:22:06.334,5 Dec 2013 14:37:52.375,946.041
27,5 Dec 2013 16:07:55.254,5 Dec 2013 16:20:12.671,737.417
28,6 Dec 2013 02:42:42.491,6 Dec 2013 02:55:28.818,766.327
29,6 Dec 2013 04:21:24.824,6 Dec 2013 04:37:24.786,959.962
30,6 Dec 2013 06:02:13.709,6 Dec 2013 06:16:17.917,844.208
31,6 Dec 2013 07:46:40.391,6 Dec 2013 07:50:35.567,235.177
32,6 Dec 2013 15:05:01.440,6 Dec 2013 15:19:15.967,854.528
33,6 Dec 2013 16:49:01.469,6 Dec 2013 17:03:18.984,857.515
34,7 Dec 2013 01:52:02.917,7 Dec 2013 02:00:30.771,507.854
35,7 Dec 2013 03:28:27.344,7 Dec 2013 03:43:51.475,924.131
36,7 Dec 2013 05:08:32.250,7 Dec 2013 05:23:47.689,915.438
37,7 Dec 2013 06:52:36.506,7 Dec 2013 06:59:47.822,431.316
38,7 Dec 2013 15:48:22.275,7 Dec 2013 16:00:26.581,724.306
39,7 Dec 2013 17:30:33.676,7 Dec 2013 17:46:12.450,938.775
40,8 Dec 2013 00:59:48.709,8 Dec 2013 01:07:35.914,467.205
41,8 Dec 2013 02:35:47.532,8 Dec 2013 02:50:16.826,869.294
42,8 Dec 2013 04:14:54.071,8 Dec 2013 04:30:53.566,959.496
43,8 Dec 2013 05:56:57.490,8 Dec 2013 06:09:44.401,766.911
44,8 Dec 2013 16:32:08.698,8 Dec 2013 16:40:48.271,519.573
45,8 Dec 2013 18:12:09.369,8 Dec 2013 18:28:40.616,991.247
46,9 Dec 2013 01:35:35.113,9 Dec 2013 01:49:25.884,830.772
47,9 Dec 2013 03:21:36.703,9 Dec 2013 03:37:34.203,957.499
48,9 Dec 2013 05:02:08.742,9 Dec 2013 05:17:41.861,933.120
49,9 Dec 2013 06:45:17.449,9 Dec 2013 06:57:07.998,710.550
50,9 Dec 2013 18:53:34.127,9 Dec 2013 19:10:24.088,1009.961
51,9 Dec 2013 20:43:13.029,9 Dec 2013 20:53:43.484,630.455
52,10 Dec 2013 00:27:15.527,10 Dec 2013 00:35:17.662,482.135
53,10 Dec 2013 02:11:37.283,10 Dec 2013 02:28:08.917,991.635
54,10 Dec 2013 03:59:32.384,10 Dec 2013 04:16:44.570,1032.186
55,10 Dec 2013 05:48:26.747,10 Dec 2013 05:58:06.556,579.809

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:37:38.033,3 Dec 2013 01:54:17.546,999.513
2,3 Dec 2013 03:27:18.293,3 Dec 2013 03:42:50.271,931.978
3,3 Dec 2013 05:15:35.595,3 Dec 2013 05:32:45.253,1029.659
4,3 Dec 2013 07:04:29.245,3 Dec 2013 07:20:25.239,955.993
5,3 Dec 2013 08:57:14.236,3 Dec 2013 09:06:51.836,577.600
6,3 Dec 2013 10:47:07.985,3 Dec 2013 10:58:40.285,692.300
7,3 Dec 2013 12:32:17.707,3 Dec 2013 12:49:10.212,1012.505
8,3 Dec 2013 14:19:55.029,3 Dec 2013 14:31:37.582,702.553
9,3 Dec 2013 16:03:00.737,3 Dec 2013 16:13:27.271,626.534
10,3 Dec 2013 17:47:36.576,3 Dec 2013 17:55:30.839,474.263
11,3 Dec 2013 19:33:42.101,3 Dec 2013 19:37:36.619,234.518
12,3 Dec 2013 21:18:40.778,3 Dec 2013 21:21:43.888,183.110
13,3 Dec 2013 23:00:19.649,3 Dec 2013 23:08:41.045,501.396
14,4 Dec 2013 00:41:27.598,4 Dec 2013 00:54:11.074,763.477
15,4 Dec 2013 02:22:16.328,4 Dec 2013 02:37:30.166,913.838
16,4 Dec 2013 04:04:56.515,4 Dec 2013 04:22:10.250,1033.735
17,4 Dec 2013 05:53:25.429,4 Dec 2013 06:10:26.232,1020.803
18,4 Dec 2013 07:44:33.284,4 Dec 2013 07:55:32.433,659.149
19,4 Dec 2013 13:13:58.626,4 Dec 2013 13:29:45.464,946.838
20,4 Dec 2013 14:59:40.155,4 Dec 2013 15:13:16.632,816.477
21,5 Dec 2013 01:31:49.734,5 Dec 2013 01:39:40.451,470.716
22,5 Dec 2013 03:09:49.553,5 Dec 2013 03:24:36.876,887.323
23,5 Dec 2013 04:49:40.681,5 Dec 2013 05:05:43.383,962.702
24,5 Dec 2013 06:31:38.040,5 Dec 2013 06:47:07.079,929.039
25,5 Dec 2013 13:56:53.488,5 Dec 2013 14:10:30.844,817.356
26,5 Dec 2013 15:40:32.045,5 Dec 2013 15:55:44.750,912.705
27,6 Dec 2013 02:18:39.174,6 Dec 2013 02:29:13.415,634.241
28,6 Dec 2013 03:56:30.056,6 Dec 2013 04:12:15.272,945.216
29,6 Dec 2013 05:36:50.645,6 Dec 2013 05:51:50.802,900.157
30,6 Dec 2013 07:19:36.845,6 Dec 2013 07:28:03.462,506.617
31,6 Dec 2013 14:40:51.498,6 Dec 2013 14:51:06.516,615.018
32,6 Dec 2013 16:22:07.411,6 Dec 2013 16:38:15.035,967.624
33,7 Dec 2013 01:30:40.561,7 Dec 2013 01:32:01.058,80.497
34,7 Dec 2013 03:03:53.282,7 Dec 2013 03:18:27.212,873.930
35,7 Dec 2013 04:43:15.399,7 Dec 2013 04:59:03.469,948.070
36,7 Dec 2013 06:25:49.979,7 Dec 2013 06:36:33.623,643.645
37,7 Dec 2013 15:26:29.350,7 Dec 2013 15:30:18.015,228.665
38,7 Dec 2013 17:04:02.097,7 Dec 2013 17:20:38.467,996.370
39,8 Dec 2013 00:38:13.936,8 Dec 2013 00:39:09.642,55.705
40,8 Dec 2013 02:11:25.903,8 Dec 2013 02:24:52.910,807.007
41,8 Dec 2013 03:49:52.902,8 Dec 2013 04:05:52.569,959.667
42,8 Dec 2013 05:31:04.600,8 Dec 2013 05:45:16.518,851.918
43,8 Dec 2013 17:45:58.380,8 Dec 2013 18:02:39.273,1000.892
44,8 Dec 2013 19:35:49.828,8 Dec 2013 19:43:36.317,466.489
45,9 Dec 2013 01:09:58.708,9 Dec 2013 01:21:10.051,671.343
46,9 Dec 2013 02:54:46.194,9 Dec 2013 03:11:45.101,1018.907
47,9 Dec 2013 04:36:49.214,9 Dec 2013 04:52:42.123,952.909
48,9 Dec 2013 06:19:09.627,9 Dec 2013 06:32:24.194,794.567
49,9 Dec 2013 18:27:43.956,9 Dec 2013 18:43:56.840,972.885
50,9 Dec 2013 20:14:40.466,9 Dec 2013 20:28:16.817,816.351
51,10 Dec 2013 01:45:06.171,10 Dec 2013 02:00:38.314,932.144
52,10 Dec 2013 03:32:19.997,10 Dec 2013 03:49:39.822,1039.826
53,10 Dec 2013 05:21:19.572,10 Dec 2013 05:38:16.334,1016.762

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:10:31.569,3 Dec 2013 01:27:33.479,1021.911
2,3 Dec 2013 02:59:55.618,3 Dec 2013 03:15:24.771,929.152
3,3 Dec 2013 04:48:37.410,3 Dec 2013 05:05:25.027,1007.618
4,3 Dec 2013 06:36:59.235,3 Dec 2013 06:53:43.857,1004.623
5,3 Dec 2013 08:28:42.832,3 Dec 2013 08:40:07.562,684.730
6,3 Dec 2013 10:20:30.995,3 Dec 2013 10:30:09.407,578.412
7,3 Dec 2013 12:06:00.234,3 Dec 2013 12:22:15.725,975.491
8,3 Dec 2013 13:52:19.094,3 Dec 2013 14:06:38.217,859.123
9,3 Dec 2013 15:37:06.255,3 Dec 2013 15:47:57.806,651.552
10,3 Dec 2013 17:21:18.725,3 Dec 2013 17:29:59.587,520.862
11,3 Dec 2013 19:07:04.042,3 Dec 2013 19:12:04.501,300.460
12,3 Dec 2013 20:52:59.025,3 Dec 2013 20:55:07.971,128.947
13,3 Dec 2013 22:34:59.012,3 Dec 2013 22:42:01.014,422.002
14,4 Dec 2013 00:16:12.545,4 Dec 2013 00:28:00.541,707.996
15,4 Dec 2013 01:57:05.803,4 Dec 2013 02:11:52.428,886.626
16,4 Dec 2013 03:37:46.698,4 Dec 2013 03:54:57.862,1031.164
17,4 Dec 2013 05:26:15.891,4 Dec 2013 05:43:33.932,1038.041
18,4 Dec 2013 07:16:06.364,4 Dec 2013 07:29:44.545,818.181
19,4 Dec 2013 12:48:20.429,4 Dec 2013 13:02:14.561,834.132
20,4 Dec 2013 14:32:36.185,4 Dec 2013 14:48:24.478,948.293
21,5 Dec 2013 01:09:54.383,5 Dec 2013 01:10:28.185,33.802
22,5 Dec 2013 02:45:02.001,5 Dec 2013 02:58:52.961,830.960
23,5 Dec 2013 04:24:38.553,5 Dec 2013 04:40:40.353,961.800
