"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:21:17.191,3 Dec 2013 01:28:20.931,423.739
2,3 Dec 2013 02:58:04.431,3 Dec 2013 03:10:08.453,724.021
3,3 Dec 2013 04:36:02.026,3 Dec 2013 04:48:55.716,773.691
4,3 Dec 2013 06:15:23.654,3 Dec 2013 06:26:39.777,676.123
5,3 Dec 2013 07:59:52.287,3 Dec 2013 08:01:49.829,117.543
6,3 Dec 2013 11:26:31.572,3 Dec 2013 11:30:17.544,225.972
7,3 Dec 2013 12:59:58.239,3 Dec 2013 13:15:45.319,947.080
8,3 Dec 2013 14:39:33.127,3 Dec 2013 14:48:23.196,530.069
9,3 Dec 2013 19:16:21.307,3 Dec 2013 19:30:35.682,854.375
10,3 Dec 2013 20:54:28.009,3 Dec 2013 21:10:33.701,965.693
11,3 Dec 2013 22:35:12.401,3 Dec 2013 22:51:12.149,959.748
12,4 Dec 2013 00:14:19.443,4 Dec 2013 00:30:10.650,951.207
13,4 Dec 2013 01:52:13.831,4 Dec 2013 02:07:52.831,939.000
14,4 Dec 2013 03:29:57.883,4 Dec 2013 03:44:49.476,891.593
15,4 Dec 2013 05:09:48.698,4 Dec 2013 05:20:13.696,624.998
16,4 Dec 2013 08:45:21.218,4 Dec 2013 08:49:05.372,224.154
17,4 Dec 2013 10:22:08.758,4 Dec 2013 10:38:04.867,956.108
18,4 Dec 2013 12:02:24.806,4 Dec 2013 12:14:28.023,723.217
19,4 Dec 2013 18:26:50.349,4 Dec 2013 18:33:36.270,405.921
20,4 Dec 2013 20:07:00.642,4 Dec 2013 20:11:52.370,291.727
21,5 Dec 2013 00:54:05.919,5 Dec 2013 01:02:51.855,525.935
22,5 Dec 2013 02:29:27.158,5 Dec 2013 02:45:50.045,982.887
23,5 Dec 2013 04:14:55.301,5 Dec 2013 04:29:05.376,850.076
24,5 Dec 2013 06:03:07.499,5 Dec 2013 06:15:19.641,732.142
25,5 Dec 2013 07:46:04.202,5 Dec 2013 08:02:20.072,975.870
26,5 Dec 2013 09:28:21.297,5 Dec 2013 09:41:11.768,770.471
27,6 Dec 2013 00:00:23.218,6 Dec 2013 00:13:02.833,759.615
28,6 Dec 2013 01:40:12.054,6 Dec 2013 01:56:41.825,989.772
29,6 Dec 2013 03:26:51.868,6 Dec 2013 03:40:55.960,844.092
30,6 Dec 2013 05:12:09.355,6 Dec 2013 05:28:06.680,957.324
31,6 Dec 2013 06:55:33.129,6 Dec 2013 07:10:18.748,885.619
32,6 Dec 2013 08:32:52.893,6 Dec 2013 08:46:54.727,841.834
33,6 Dec 2013 10:10:37.284,6 Dec 2013 10:25:09.628,872.344
34,6 Dec 2013 11:49:54.181,6 Dec 2013 12:04:58.094,903.912
35,6 Dec 2013 13:30:58.076,6 Dec 2013 13:45:36.074,877.998
36,6 Dec 2013 15:14:05.417,6 Dec 2013 15:25:20.768,675.351
37,6 Dec 2013 21:30:03.451,6 Dec 2013 21:40:16.924,613.473
38,6 Dec 2013 23:06:17.486,6 Dec 2013 23:22:39.834,982.348
39,7 Dec 2013 00:52:07.089,7 Dec 2013 01:04:22.007,734.918
40,7 Dec 2013 02:39:09.495,7 Dec 2013 02:49:43.442,633.948
41,7 Dec 2013 04:15:46.535,7 Dec 2013 04:29:30.347,823.812
42,7 Dec 2013 05:53:39.622,7 Dec 2013 06:07:52.846,853.224
43,7 Dec 2013 07:33:06.825,7 Dec 2013 07:46:29.626,802.800
44,7 Dec 2013 09:14:56.255,7 Dec 2013 09:26:14.345,678.090
45,7 Dec 2013 10:58:18.211,7 Dec 2013 11:08:31.574,613.363
46,7 Dec 2013 12:38:31.621,7 Dec 2013 12:53:19.043,887.422
47,7 Dec 2013 14:16:23.318,7 Dec 2013 14:29:09.715,766.397
48,7 Dec 2013 18:56:37.734,7 Dec 2013 19:06:04.726,566.992
49,7 Dec 2013 20:30:28.889,7 Dec 2013 20:46:29.939,961.050

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:00:00.000,3 Dec 2013 01:01:17.867,77.867
2,3 Dec 2013 02:33:42.630,3 Dec 2013 02:45:07.061,684.432
3,3 Dec 2013 04:11:27.618,3 Dec 2013 04:24:22.027,774.408
4,3 Dec 2013 05:50:19.892,3 Dec 2013 06:02:18.051,718.158
5,3 Dec 2013 07:32:23.086,3 Dec 2013 07:39:02.360,399.274
6,3 Dec 2013 12:35:35.105,3 Dec 2013 12:51:03.912,928.807
7,3 Dec 2013 14:14:16.013,3 Dec 2013 14:26:15.361,719.348
8,3 Dec 2013 18:53:19.752,3 Dec 2013 19:05:36.348,736.597
9,3 Dec 2013 20:29:02.147,3 Dec 2013 20:45:10.794,968.647
10,3 Dec 2013 22:10:10.829,3 Dec 2013 22:26:11.726,960.897
11,3 Dec 2013 23:49:40.918,4 Dec 2013 00:05:34.784,953.867
12,4 Dec 2013 01:27:49.513,4 Dec 2013 01:43:32.179,942.666
13,4 Dec 2013 03:05:27.347,4 Dec 2013 03:20:39.712,912.365
14,4 Dec 2013 04:44:24.214,4 Dec 2013 04:56:42.322,738.109
15,4 Dec 2013 09:57:21.529,4 Dec 2013 10:12:25.165,903.636
16,4 Dec 2013 11:37:07.522,4 Dec 2013 11:51:20.168,852.645
17,4 Dec 2013 18:02:05.381,4 Dec 2013 18:08:22.387,377.006
18,4 Dec 2013 19:41:49.982,4 Dec 2013 19:47:42.649,352.668
19,5 Dec 2013 00:31:18.206,5 Dec 2013 00:37:58.195,399.989
20,5 Dec 2013 02:04:24.136,5 Dec 2013 02:19:42.176,918.040
21,5 Dec 2013 03:47:53.057,5 Dec 2013 04:03:15.884,922.827
22,5 Dec 2013 05:36:34.456,5 Dec 2013 05:48:12.235,697.779
23,5 Dec 2013 07:20:35.150,5 Dec 2013 07:36:11.331,936.181
24,5 Dec 2013 09:02:33.842,5 Dec 2013 09:17:28.567,894.725
25,5 Dec 2013 23:37:48.636,5 Dec 2013 23:45:56.051,487.415
26,6 Dec 2013 01:14:21.964,6 Dec 2013 01:30:57.620,995.656
27,6 Dec 2013 02:59:58.552,6 Dec 2013 03:14:31.260,872.708
28,6 Dec 2013 04:46:12.253,6 Dec 2013 05:01:25.017,912.763
29,6 Dec 2013 06:29:34.856,6 Dec 2013 06:45:48.431,973.575
30,6 Dec 2013 08:08:34.970,6 Dec 2013 08:22:37.579,842.609
31,6 Dec 2013 09:46:04.200,6 Dec 2013 10:00:26.100,861.900
32,6 Dec 2013 11:24:54.739,6 Dec 2013 11:39:54.014,899.275
33,6 Dec 2013 13:05:32.388,6 Dec 2013 13:20:25.943,893.555
34,6 Dec 2013 14:48:01.243,6 Dec 2013 15:00:40.317,759.074
35,6 Dec 2013 21:09:27.976,6 Dec 2013 21:12:34.359,186.383
36,6 Dec 2013 22:41:12.396,6 Dec 2013 22:57:18.736,966.340
37,7 Dec 2013 00:24:54.035,7 Dec 2013 00:38:46.359,832.324
38,7 Dec 2013 02:13:55.571,7 Dec 2013 02:23:49.174,593.602
39,7 Dec 2013 03:51:28.588,7 Dec 2013 04:04:47.654,799.066
40,7 Dec 2013 05:29:04.524,7 Dec 2013 05:43:18.390,853.866
41,7 Dec 2013 07:08:03.110,7 Dec 2013 07:21:46.074,822.964
42,7 Dec 2013 08:49:15.031,7 Dec 2013 09:01:08.379,713.347
43,7 Dec 2013 10:32:29.119,7 Dec 2013 10:42:36.517,607.398
44,7 Dec 2013 12:14:59.185,7 Dec 2013 12:27:35.646,756.460
45,7 Dec 2013 13:51:32.749,7 Dec 2013 14:06:06.998,874.250
46,7 Dec 2013 18:35:50.440,7 Dec 2013 18:39:31.262,220.822
47,7 Dec 2013 20:06:03.256,7 Dec 2013 20:21:38.348,935.092
48,7 Dec 2013 21:47:46.178,7 Dec 2013 21:57:56.203,610.025

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 02:09:24.968,3 Dec 2013 02:19:52.640,627.672
2,3 Dec 2013 03:46:56.929,3 Dec 2013 03:59:43.890,766.961
3,3 Dec 2013 05:25:26.536,3 Dec 2013 05:37:53.325,746.789
4,3 Dec 2013 07:06:17.434,3 Dec 2013 07:15:07.558,530.124
5,3 Dec 2013 12:11:29.558,3 Dec 2013 12:25:40.516,850.958
6,3 Dec 2013 13:49:18.763,3 Dec 2013 14:03:21.623,842.860
7,3 Dec 2013 18:31:02.665,3 Dec 2013 18:40:19.720,557.056
8,3 Dec 2013 20:04:12.882,3 Dec 2013 20:20:05.091,952.209
9,3 Dec 2013 21:45:02.888,3 Dec 2013 22:01:04.871,961.983
10,3 Dec 2013 23:24:57.159,3 Dec 2013 23:40:53.424,956.265
11,4 Dec 2013 01:03:22.999,4 Dec 2013 01:19:08.649,945.650
12,4 Dec 2013 02:41:01.132,4 Dec 2013 02:56:26.662,925.530
13,4 Dec 2013 04:19:22.435,4 Dec 2013 04:32:53.590,811.155
14,4 Dec 2013 09:32:43.374,4 Dec 2013 09:46:00.453,797.079
15,4 Dec 2013 11:12:01.350,4 Dec 2013 11:27:31.403,930.053
16,4 Dec 2013 17:37:36.732,4 Dec 2013 17:42:46.599,309.867
17,4 Dec 2013 19:16:44.815,4 Dec 2013 19:23:15.780,390.965
18,5 Dec 2013 00:08:48.923,5 Dec 2013 00:12:47.391,238.469
19,5 Dec 2013 01:40:13.981,5 Dec 2013 01:53:06.519,772.538
20,5 Dec 2013 03:21:15.176,5 Dec 2013 03:37:30.537,975.360
21,5 Dec 2013 05:09:32.680,5 Dec 2013 05:21:26.247,713.567
22,5 Dec 2013 06:55:00.018,5 Dec 2013 07:09:33.622,873.604
23,5 Dec 2013 08:36:59.606,5 Dec 2013 08:53:01.275,961.669
24,6 Dec 2013 00:49:02.630,6 Dec 2013 01:05:11.345,968.715
25,6 Dec 2013 02:33:07.075,6 Dec 2013 02:48:23.647,916.572
26,6 Dec 2013 04:20:02.280,6 Dec 2013 04:34:31.615,869.336
27,6 Dec 2013 06:03:45.578,6 Dec 2013 06:20:23.278,997.699
28,6 Dec 2013 07:44:18.306,6 Dec 2013 07:58:26.514,848.209
29,6 Dec 2013 09:21:36.424,6 Dec 2013 09:35:48.955,852.531
30,6 Dec 2013 11:00:02.177,6 Dec 2013 11:14:54.126,891.949
31,6 Dec 2013 12:40:13.164,6 Dec 2013 12:55:15.228,902.064
32,6 Dec 2013 14:22:11.005,6 Dec 2013 14:35:46.203,815.199
33,6 Dec 2013 16:07:58.782,6 Dec 2013 16:12:54.155,295.372
34,6 Dec 2013 22:16:43.343,6 Dec 2013 22:31:52.863,909.519
35,6 Dec 2013 23:58:09.159,7 Dec 2013 00:13:20.568,911.409
36,7 Dec 2013 01:47:00.973,7 Dec 2013 01:56:42.387,581.414
37,7 Dec 2013 03:27:15.197,7 Dec 2013 03:39:58.040,762.842
38,7 Dec 2013 05:04:34.348,7 Dec 2013 05:18:44.018,849.670
39,7 Dec 2013 06:43:07.962,7 Dec 2013 06:57:05.900,837.938
40,7 Dec 2013 08:23:42.617,7 Dec 2013 08:36:09.823,747.206
41,7 Dec 2013 10:06:36.645,7 Dec 2013 10:16:56.234,619.589
42,7 Dec 2013 11:49:38.776,7 Dec 2013 12:01:00.337,681.561
43,7 Dec 2013 13:26:56.590,7 Dec 2013 13:42:27.329,930.739
44,7 Dec 2013 15:07:42.545,7 Dec 2013 15:12:23.225,280.680
