"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","adsb_out6-To-adsb_satrcvr2 - Flux Density (dBW/m^2)","adsb_out6-To-adsb_satrcvr2 - g/T (dB/K)","adsb_out6-To-adsb_satrcvr2 - C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Dec 2013 04:39:46.761,23.979,1.090008,-140.004,-117.800203,-114.722643,-26.127921,8000.000,-95.1588,-86.1279,4.999721e-001
3 Dec 2013 04:40:46.000,23.979,1.090005,-139.739,-117.535130,-115.011373,-26.151578,8000.000,-95.1825,-86.1516,4.999722e-001
3 Dec 2013 04:41:46.000,23.979,1.090002,-139.584,-117.379813,-115.139393,-26.124282,8000.000,-95.1552,-86.1243,4.999721e-001
3 Dec 2013 04:42:46.000,23.979,1.089999,-139.556,-117.351829,-115.158896,-26.115800,8000.000,-95.1467,-86.1158,4.999721e-001
3 Dec 2013 04:43:46.000,23.979,1.089996,-139.658,-117.453713,-115.081230,-26.140019,8000.000,-95.1709,-86.1400,4.999722e-001
3 Dec 2013 04:44:46.000,23.979,1.089993,-139.881,-117.676292,-114.866779,-26.148147,8000.000,-95.1790,-86.1481,4.999722e-001
3 Dec 2013 04:45:10.982,23.979,1.089992,-140.005,-117.800407,-114.720256,-26.125738,8000.000,-95.1566,-86.1257,4.999721e-001
3 Dec 2013 13:00:41.055,23.979,1.090024,-139.994,-117.790010,-115.014124,-26.409209,8000.000,-95.4401,-86.4092,4.999730e-001
3 Dec 2013 13:01:41.000,23.979,1.090024,-138.957,-116.752665,-115.662982,-26.020723,8000.000,-95.0516,-86.0207,4.999718e-001
3 Dec 2013 13:02:41.000,23.979,1.090023,-137.796,-115.591343,-114.792755,-23.989174,8000.000,-93.0201,-83.9892,4.999644e-001
3 Dec 2013 13:03:41.000,23.979,1.090022,-136.494,-114.290263,-111.806058,-19.701396,8000.000,-88.7323,-79.7014,4.999416e-001
3 Dec 2013 13:04:41.000,23.979,1.090021,-135.048,-112.843591,-105.956209,-12.404876,8000.000,-81.4358,-72.4049,4.998647e-001
3 Dec 2013 13:05:41.000,23.979,1.090018,-133.491,-111.286351,-96.611600,-1.503026,8000.000,-70.5339,-61.5030,4.995255e-001
3 Dec 2013 13:06:41.000,23.979,1.090013,-131.975,-109.770549,-84.376038,12.248337,8000.000,-56.7826,-47.7517,4.976888e-001
3 Dec 2013 13:07:41.000,23.979,1.090006,-130.886,-108.681867,-73.602896,24.110161,8000.000,-44.9207,-35.8898,4.909448e-001
3 Dec 2013 13:08:41.000,23.979,1.089996,-130.748,-108.543697,-72.108208,25.743020,8000.000,-43.2879,-34.2570,4.890725e-001
3 Dec 2013 13:09:41.000,23.979,1.089988,-131.648,-109.443428,-81.300168,15.651328,8000.000,-53.3796,-44.3487,4.965803e-001
3 Dec 2013 13:10:41.000,23.979,1.089983,-133.110,-110.905341,-93.806882,1.682701,8000.000,-67.3482,-58.3173,4.993152e-001
3 Dec 2013 13:11:41.000,23.979,1.089980,-134.684,-112.480279,-104.030665,-10.116020,8000.000,-79.1469,-70.1160,4.998240e-001
3 Dec 2013 13:12:41.000,23.979,1.089978,-136.172,-113.967489,-110.698154,-18.270719,8000.000,-87.3016,-78.2707,4.999312e-001
3 Dec 2013 13:13:41.000,23.979,1.089977,-137.516,-115.312096,-114.293990,-23.211161,8000.000,-92.2421,-83.2112,4.999610e-001
3 Dec 2013 13:14:41.000,23.979,1.089976,-138.718,-116.513724,-115.582919,-25.701718,8000.000,-94.7326,-85.7017,4.999707e-001
3 Dec 2013 13:15:41.000,23.979,1.089976,-139.792,-117.587724,-115.206745,-26.399545,8000.000,-95.4304,-86.3995,4.999730e-001
3 Dec 2013 13:15:46.326,23.979,1.089976,-139.882,-117.677493,-115.109978,-26.392547,8000.000,-95.4234,-86.3925,4.999730e-001
3 Dec 2013 14:37:14.076,23.979,1.090022,-140.004,-117.800200,-114.830831,-26.236107,8000.000,-95.2670,-86.2361,4.999725e-001
3 Dec 2013 14:38:14.000,23.979,1.090021,-139.075,-116.870645,-115.467643,-25.943363,8000.000,-94.9743,-85.9434,4.999715e-001
3 Dec 2013 14:39:14.000,23.979,1.090019,-138.097,-115.892607,-114.969229,-24.466911,8000.000,-93.4978,-84.4669,4.999663e-001
3 Dec 2013 14:40:14.000,23.979,1.090017,-137.102,-114.897897,-113.230559,-21.733532,8000.000,-90.7644,-81.7335,4.999538e-001
3 Dec 2013 14:41:14.000,23.979,1.090014,-136.154,-113.949895,-110.408945,-17.963916,8000.000,-86.9948,-77.9639,4.999287e-001
3 Dec 2013 14:42:14.000,23.979,1.090009,-135.362,-113.158018,-107.170669,-13.933762,8000.000,-82.9647,-73.9338,4.998866e-001
3 Dec 2013 14:43:14.000,23.979,1.090004,-134.873,-112.669025,-104.764459,-11.038560,8000.000,-80.0695,-71.0386,4.998417e-001
3 Dec 2013 14:44:14.000,23.979,1.089998,-134.812,-112.607543,-104.436792,-10.649411,8000.000,-79.6803,-70.6494,4.998344e-001
3 Dec 2013 14:45:14.000,23.979,1.089992,-135.195,-112.991107,-106.375400,-12.971584,8000.000,-82.0025,-72.9716,4.998733e-001
3 Dec 2013 14:46:14.000,23.979,1.089987,-135.920,-113.716012,-109.521684,-16.842772,8000.000,-85.8737,-76.8428,4.999189e-001
3 Dec 2013 14:47:14.000,23.979,1.089984,-136.837,-114.633260,-112.538536,-20.776872,8000.000,-89.8078,-80.7769,4.999484e-001
