"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 04:31:27.182,3 Dec 2013 04:35:53.374,266.192
2,3 Dec 2013 06:01:51.588,3 Dec 2013 06:17:41.434,949.846
3,3 Dec 2013 14:44:19.071,3 Dec 2013 14:46:03.755,104.684
4,3 Dec 2013 16:20:46.139,3 Dec 2013 16:28:20.759,454.620
5,3 Dec 2013 18:00:01.513,3 Dec 2013 18:09:45.787,584.274
6,3 Dec 2013 19:39:58.878,3 Dec 2013 19:52:19.327,740.449
7,3 Dec 2013 21:17:26.365,3 Dec 2013 21:32:53.102,926.737
8,4 Dec 2013 03:27:41.143,4 Dec 2013 03:42:10.779,869.636
9,4 Dec 2013 05:06:12.913,4 Dec 2013 05:17:55.454,702.541
10,4 Dec 2013 18:41:43.197,4 Dec 2013 18:56:55.951,912.755
11,4 Dec 2013 20:20:35.559,4 Dec 2013 20:31:58.194,682.635
12,5 Dec 2013 00:56:39.425,5 Dec 2013 01:03:14.608,395.183
13,5 Dec 2013 02:30:47.658,5 Dec 2013 02:45:40.056,892.398
14,5 Dec 2013 04:10:26.770,5 Dec 2013 04:26:19.826,953.056
15,5 Dec 2013 05:49:58.846,5 Dec 2013 06:05:56.749,957.903
16,5 Dec 2013 07:28:49.247,5 Dec 2013 07:44:34.540,945.293
17,5 Dec 2013 09:07:04.004,5 Dec 2013 09:22:14.281,910.278
18,5 Dec 2013 10:45:28.624,5 Dec 2013 10:58:44.300,795.676
19,5 Dec 2013 16:07:35.841,5 Dec 2013 16:20:47.821,791.980
20,5 Dec 2013 17:46:30.046,5 Dec 2013 18:00:53.354,863.308
21,6 Dec 2013 08:11:12.740,6 Dec 2013 08:27:13.553,960.814
22,6 Dec 2013 09:57:38.423,6 Dec 2013 10:03:59.173,380.750
23,6 Dec 2013 13:38:04.077,6 Dec 2013 13:41:38.324,214.247
24,6 Dec 2013 15:13:59.418,6 Dec 2013 15:30:07.219,967.801
25,6 Dec 2013 16:54:21.124,6 Dec 2013 17:05:51.106,689.982
26,6 Dec 2013 18:32:12.482,6 Dec 2013 18:41:12.244,539.762
27,6 Dec 2013 20:10:34.241,6 Dec 2013 20:17:32.365,418.124
28,6 Dec 2013 21:51:21.354,6 Dec 2013 21:53:06.906,105.552
29,7 Dec 2013 05:39:25.088,7 Dec 2013 05:53:57.319,872.230
30,7 Dec 2013 07:19:10.499,7 Dec 2013 07:31:52.843,762.344
31,7 Dec 2013 14:18:25.820,7 Dec 2013 14:28:38.080,612.260
32,7 Dec 2013 15:55:41.034,7 Dec 2013 16:08:28.783,767.749
33,7 Dec 2013 17:34:25.531,7 Dec 2013 17:48:26.529,840.997
34,7 Dec 2013 19:14:09.646,7 Dec 2013 19:29:14.349,904.703
35,7 Dec 2013 20:54:34.414,7 Dec 2013 21:10:37.798,963.384
36,7 Dec 2013 22:33:32.017,7 Dec 2013 22:43:45.210,613.193
37,8 Dec 2013 03:07:24.996,8 Dec 2013 03:18:48.020,683.024
38,8 Dec 2013 04:41:53.027,8 Dec 2013 04:56:58.271,905.245
