"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","adsb_out6212-To-adsb_satrcvr2 - Flux Density (dBW/m^2)","adsb_out6212-To-adsb_satrcvr2 - g/T (dB/K)","adsb_out6212-To-adsb_satrcvr2 - C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Dec 2013 05:46:59.577,23.979,1.090021,-139.899,-117.694747,-115.771040,-27.070863,8000.000,-96.1018,-87.0709,4.999750e-001
3 Dec 2013 05:47:59.000,23.979,1.090020,-138.997,-116.792759,-116.377808,-26.775643,8000.000,-95.8065,-86.7756,4.999741e-001
3 Dec 2013 05:48:59.000,23.979,1.090019,-138.021,-115.817187,-115.896222,-25.318485,8000.000,-94.3494,-85.3185,4.999694e-001
3 Dec 2013 05:49:59.000,23.979,1.090018,-136.994,-114.790033,-114.108422,-22.503531,8000.000,-91.5344,-82.5035,4.999577e-001
3 Dec 2013 05:50:59.000,23.979,1.090016,-135.952,-113.747919,-110.941639,-18.294634,8000.000,-87.3255,-78.2946,4.999313e-001
3 Dec 2013 05:51:59.000,23.979,1.090012,-134.973,-112.768519,-106.707130,-13.080724,8000.000,-82.1116,-73.0807,4.998749e-001
3 Dec 2013 05:52:59.000,23.979,1.090008,-134.190,-111.986207,-102.434691,-8.025973,8000.000,-77.0569,-68.0260,4.997761e-001
3 Dec 2013 05:53:59.000,23.979,1.090002,-133.777,-111.573189,-99.855579,-5.033843,8000.000,-74.0647,-65.0338,4.996840e-001
3 Dec 2013 05:54:59.000,23.979,1.089996,-133.856,-111.652021,-100.365589,-5.622686,8000.000,-74.6536,-65.6227,4.997047e-001
3 Dec 2013 05:55:59.000,23.979,1.089991,-134.403,-112.199155,-103.677543,-9.481774,8000.000,-78.5127,-69.4818,4.998106e-001
3 Dec 2013 05:56:59.000,23.979,1.089986,-135.270,-113.065402,-108.121660,-14.792138,8000.000,-83.8230,-74.7921,4.998972e-001
3 Dec 2013 05:57:59.000,23.979,1.089983,-136.288,-114.083702,-112.112806,-19.801584,8000.000,-88.8325,-79.8016,4.999423e-001
3 Dec 2013 05:58:59.000,23.979,1.089981,-137.341,-115.136657,-114.860125,-23.601858,8000.000,-92.6328,-83.6019,4.999627e-001
3 Dec 2013 05:59:59.000,23.979,1.089980,-138.365,-116.160619,-116.201773,-25.967467,8000.000,-94.9984,-85.9675,4.999716e-001
3 Dec 2013 06:00:59.000,23.979,1.089979,-139.331,-117.127276,-116.271993,-27.004345,8000.000,-96.0352,-87.0043,4.999748e-001
3 Dec 2013 06:01:33.807,23.979,1.089979,-139.862,-117.657648,-115.817297,-27.080021,8000.000,-96.1109,-87.0800,4.999750e-001
3 Dec 2013 07:29:34.796,23.979,1.090015,-139.877,-117.672974,-115.836128,-27.114178,8000.000,-96.1451,-87.1142,4.999751e-001
3 Dec 2013 07:30:34.000,23.979,1.090013,-139.266,-117.061955,-116.343296,-27.010327,8000.000,-96.0412,-87.0103,4.999748e-001
3 Dec 2013 07:31:34.000,23.979,1.090011,-138.702,-116.498080,-116.399756,-26.502911,8000.000,-95.5338,-86.5029,4.999733e-001
3 Dec 2013 07:32:34.000,23.979,1.090008,-138.233,-116.029160,-116.145865,-25.780101,8000.000,-94.8110,-85.7801,4.999710e-001
3 Dec 2013 07:33:34.000,23.979,1.090005,-137.903,-115.698395,-115.802168,-25.105638,8000.000,-94.1365,-85.1056,4.999687e-001
3 Dec 2013 07:34:34.000,23.979,1.090001,-137.747,-115.543030,-115.593358,-24.741463,8000.000,-93.7724,-84.7415,4.999673e-001
3 Dec 2013 07:35:34.000,23.979,1.089997,-137.787,-115.582311,-115.648153,-24.835540,8000.000,-93.8664,-84.8355,4.999677e-001
3 Dec 2013 07:36:34.000,23.979,1.089994,-138.014,-115.810023,-115.931193,-25.346292,8000.000,-94.3772,-85.3463,4.999695e-001
3 Dec 2013 07:37:34.000,23.979,1.089991,-138.401,-116.196986,-116.264766,-26.066829,8000.000,-95.0977,-86.0668,4.999719e-001
3 Dec 2013 07:38:34.000,23.979,1.089988,-138.906,-116.701645,-116.420572,-26.727293,8000.000,-95.7582,-86.7273,4.999740e-001
3 Dec 2013 07:39:34.000,23.979,1.089986,-139.486,-117.281708,-116.209216,-27.096000,8000.000,-96.1269,-87.0960,4.999751e-001
3 Dec 2013 07:40:11.946,23.979,1.089985,-139.875,-117.670969,-115.833042,-27.109087,8000.000,-96.1400,-87.1091,4.999751e-001
