"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 23:54:26.410,4 Dec 2013 00:04:59.093,632.682
2,4 Dec 2013 23:57:14.426,5 Dec 2013 00:09:08.233,713.807
3,5 Dec 2013 23:50:45.925,6 Dec 2013 00:01:11.755,625.830
4,6 Dec 2013 23:38:54.197,6 Dec 2013 23:47:16.145,501.948
5,7 Dec 2013 23:34:34.189,7 Dec 2013 23:43:57.595,563.406
6,8 Dec 2013 23:37:40.451,8 Dec 2013 23:48:58.343,677.892

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 22:27:48.311,3 Dec 2013 22:36:49.380,541.069
2,4 Dec 2013 22:30:58.458,4 Dec 2013 22:42:08.335,669.876
3,5 Dec 2013 22:28:00.700,5 Dec 2013 22:39:10.691,669.991
4,6 Dec 2013 22:16:27.734,6 Dec 2013 22:26:23.071,595.337
5,7 Dec 2013 22:07:49.461,7 Dec 2013 22:15:59.779,490.318
6,8 Dec 2013 22:11:13.275,8 Dec 2013 22:21:47.910,634.635

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 20:14:07.470,3 Dec 2013 20:21:54.356,466.886
2,4 Dec 2013 20:16:57.816,4 Dec 2013 20:27:20.718,622.902
3,5 Dec 2013 20:18:52.413,5 Dec 2013 20:31:04.876,732.464
4,6 Dec 2013 20:09:53.133,6 Dec 2013 20:19:51.909,598.776
5,7 Dec 2013 19:57:51.710,7 Dec 2013 20:05:38.657,466.947
6,8 Dec 2013 19:56:28.477,8 Dec 2013 20:06:56.173,627.696

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 18:48:55.977,3 Dec 2013 18:56:49.277,473.300
2,4 Dec 2013 18:46:39.178,4 Dec 2013 18:56:58.638,619.460
3,5 Dec 2013 18:49:35.130,5 Dec 2013 19:01:14.935,699.805
4,6 Dec 2013 18:44:19.990,6 Dec 2013 18:55:01.654,641.664
5,7 Dec 2013 18:32:34.355,7 Dec 2013 18:41:35.121,540.766
6,8 Dec 2013 18:26:44.654,8 Dec 2013 18:35:27.904,523.250

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 16:11:16.782,3 Dec 2013 16:21:05.298,588.516
2,4 Dec 2013 16:00:21.115,4 Dec 2013 16:08:29.986,488.871
3,5 Dec 2013 16:03:44.526,5 Dec 2013 16:14:08.511,623.985
4,6 Dec 2013 16:05:23.216,6 Dec 2013 16:17:20.332,717.116
5,7 Dec 2013 15:55:18.772,7 Dec 2013 16:05:09.205,590.433
6,8 Dec 2013 15:43:16.336,8 Dec 2013 15:50:58.901,462.565

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 13:41:56.644,3 Dec 2013 13:52:23.014,626.370
2,4 Dec 2013 13:30:05.327,4 Dec 2013 13:38:27.827,502.501
3,5 Dec 2013 13:25:39.899,5 Dec 2013 13:34:58.260,558.361
4,6 Dec 2013 13:28:46.663,6 Dec 2013 13:40:03.121,676.458
5,7 Dec 2013 13:25:16.856,7 Dec 2013 13:36:20.027,663.172
6,8 Dec 2013 13:13:41.097,8 Dec 2013 13:23:30.071,588.974

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 12:04:07.353,3 Dec 2013 12:15:24.991,677.638
