"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 06:03:06.288,3 Dec 2013 06:14:24.566,678.279
2,3 Dec 2013 07:43:17.784,3 Dec 2013 07:59:55.017,997.233
3,3 Dec 2013 09:32:39.668,3 Dec 2013 09:44:44.466,724.798
4,3 Dec 2013 11:17:44.235,3 Dec 2013 11:30:57.733,793.498
5,3 Dec 2013 12:56:10.157,3 Dec 2013 13:11:34.961,924.804
6,3 Dec 2013 14:35:05.646,3 Dec 2013 14:51:01.491,955.845
7,3 Dec 2013 16:14:28.511,3 Dec 2013 16:30:31.959,963.448
8,3 Dec 2013 17:54:37.047,3 Dec 2013 18:10:47.757,970.710
9,3 Dec 2013 19:35:45.848,3 Dec 2013 19:52:01.226,975.378
10,3 Dec 2013 21:19:55.194,3 Dec 2013 21:29:30.284,575.090
11,4 Dec 2013 03:29:55.574,4 Dec 2013 03:32:25.597,150.024
12,4 Dec 2013 05:03:39.902,4 Dec 2013 05:20:09.216,989.314
13,4 Dec 2013 06:48:01.927,4 Dec 2013 07:02:11.824,849.897
14,4 Dec 2013 08:29:04.949,4 Dec 2013 08:43:47.174,882.226
15,4 Dec 2013 10:09:12.809,4 Dec 2013 10:24:11.469,898.660
16,4 Dec 2013 11:49:03.139,4 Dec 2013 12:03:48.138,884.998
17,4 Dec 2013 13:29:27.451,4 Dec 2013 13:43:07.216,819.765
18,4 Dec 2013 15:11:37.050,4 Dec 2013 15:22:22.107,645.058
19,4 Dec 2013 16:55:07.257,4 Dec 2013 17:10:54.349,947.093
20,4 Dec 2013 18:39:12.716,4 Dec 2013 18:53:05.815,833.099
21,5 Dec 2013 02:27:38.272,5 Dec 2013 02:36:38.502,540.229
22,5 Dec 2013 04:07:15.977,5 Dec 2013 04:19:02.549,706.572
23,5 Dec 2013 05:46:42.311,5 Dec 2013 05:59:39.614,777.303
24,5 Dec 2013 07:25:17.877,5 Dec 2013 07:39:19.312,841.434
25,5 Dec 2013 09:03:16.287,5 Dec 2013 09:18:31.323,915.035
26,5 Dec 2013 10:41:31.791,5 Dec 2013 10:57:22.481,950.690
27,5 Dec 2013 12:27:47.564,5 Dec 2013 12:42:56.394,908.830
28,5 Dec 2013 14:15:36.410,5 Dec 2013 14:31:41.563,965.153
29,5 Dec 2013 16:00:57.639,5 Dec 2013 16:16:45.262,947.623
30,6 Dec 2013 08:05:25.396,6 Dec 2013 08:19:37.445,852.049
31,6 Dec 2013 09:49:11.220,6 Dec 2013 10:06:02.579,1011.359
32,6 Dec 2013 11:37:23.654,6 Dec 2013 11:53:21.322,957.668
33,6 Dec 2013 13:23:52.201,6 Dec 2013 13:40:51.661,1019.460
34,6 Dec 2013 15:12:57.828,6 Dec 2013 15:20:13.176,435.347
35,7 Dec 2013 05:33:12.786,7 Dec 2013 05:41:05.668,472.882
36,7 Dec 2013 07:11:38.059,7 Dec 2013 07:28:30.797,1012.738
37,7 Dec 2013 08:59:27.799,7 Dec 2013 09:14:03.252,875.453
38,7 Dec 2013 10:47:31.888,7 Dec 2013 11:03:16.705,944.816
39,7 Dec 2013 12:29:12.545,7 Dec 2013 12:45:03.328,950.783
40,7 Dec 2013 14:08:08.492,7 Dec 2013 14:23:11.436,902.944
41,7 Dec 2013 15:47:24.498,7 Dec 2013 16:01:16.966,832.468
42,7 Dec 2013 17:27:13.182,7 Dec 2013 17:40:06.703,773.522
43,7 Dec 2013 19:08:07.364,7 Dec 2013 19:19:44.143,696.779
44,7 Dec 2013 20:51:03.140,7 Dec 2013 20:59:16.692,493.551
45,8 Dec 2013 04:33:18.610,8 Dec 2013 04:49:45.641,987.031
46,8 Dec 2013 06:20:16.871,8 Dec 2013 06:32:21.602,724.731
47,8 Dec 2013 08:04:16.473,8 Dec 2013 08:15:57.245,700.772
48,8 Dec 2013 09:43:34.387,8 Dec 2013 09:57:35.272,840.885
49,8 Dec 2013 11:22:56.216,8 Dec 2013 11:37:46.550,890.334
50,8 Dec 2013 13:02:41.345,8 Dec 2013 13:17:36.785,895.440
51,8 Dec 2013 14:43:21.383,8 Dec 2013 14:57:53.401,872.018
52,8 Dec 2013 16:25:14.193,8 Dec 2013 16:39:25.305,851.112
53,8 Dec 2013 18:07:57.540,8 Dec 2013 18:23:08.603,911.063
54,9 Dec 2013 01:54:13.706,9 Dec 2013 02:09:26.200,912.494

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 07:08:35.899,3 Dec 2013 07:25:12.775,996.876
2,3 Dec 2013 08:55:34.404,3 Dec 2013 09:09:24.900,830.497
3,3 Dec 2013 10:45:11.280,3 Dec 2013 10:56:47.670,696.389
4,3 Dec 2013 12:23:16.942,3 Dec 2013 12:38:15.329,898.388
5,3 Dec 2013 14:02:04.682,3 Dec 2013 14:17:55.137,950.455
6,3 Dec 2013 15:41:16.852,3 Dec 2013 15:57:18.185,961.332
7,3 Dec 2013 17:21:07.936,3 Dec 2013 17:37:16.126,968.189
8,3 Dec 2013 19:01:55.932,3 Dec 2013 19:18:10.697,974.766
9,3 Dec 2013 20:44:07.936,3 Dec 2013 20:58:42.733,874.797
10,4 Dec 2013 04:30:04.092,4 Dec 2013 04:45:48.239,944.148
11,4 Dec 2013 06:14:03.149,4 Dec 2013 06:28:05.235,842.086
12,4 Dec 2013 07:55:31.726,4 Dec 2013 08:10:03.611,871.885
13,4 Dec 2013 09:35:54.186,4 Dec 2013 09:50:50.261,896.075
14,4 Dec 2013 11:15:45.511,4 Dec 2013 11:30:39.166,893.655
15,4 Dec 2013 12:55:51.610,4 Dec 2013 13:10:01.478,849.868
16,4 Dec 2013 14:37:16.745,4 Dec 2013 14:49:17.973,721.228
17,4 Dec 2013 16:20:46.969,4 Dec 2013 16:34:30.496,823.527
18,4 Dec 2013 18:04:07.013,4 Dec 2013 18:20:17.524,970.511
19,5 Dec 2013 01:54:46.552,5 Dec 2013 02:01:44.948,418.396
20,5 Dec 2013 03:34:00.726,5 Dec 2013 03:45:10.020,669.293
21,5 Dec 2013 05:13:38.439,5 Dec 2013 05:26:15.557,757.118
22,5 Dec 2013 06:52:31.818,5 Dec 2013 07:06:10.240,818.421
23,5 Dec 2013 08:30:38.212,5 Dec 2013 08:45:29.421,891.209
24,5 Dec 2013 10:08:40.338,5 Dec 2013 10:24:28.445,948.106
25,5 Dec 2013 11:51:19.087,5 Dec 2013 12:07:18.347,959.260
26,5 Dec 2013 13:40:08.337,5 Dec 2013 13:55:22.644,914.307
27,5 Dec 2013 15:25:46.829,5 Dec 2013 15:42:37.224,1010.395
28,5 Dec 2013 17:15:09.197,5 Dec 2013 17:18:58.598,229.400
29,6 Dec 2013 07:33:44.176,6 Dec 2013 07:42:27.201,523.025
30,6 Dec 2013 09:13:44.453,6 Dec 2013 09:30:45.193,1020.740
31,6 Dec 2013 11:01:20.520,6 Dec 2013 11:17:15.981,955.460
32,6 Dec 2013 12:48:33.524,6 Dec 2013 13:05:28.599,1015.074
33,6 Dec 2013 14:35:14.267,6 Dec 2013 14:48:58.726,824.459
34,7 Dec 2013 06:37:16.619,7 Dec 2013 06:53:29.076,972.457
35,7 Dec 2013 08:22:58.448,7 Dec 2013 08:38:33.639,935.190
36,7 Dec 2013 10:11:57.896,7 Dec 2013 10:26:39.860,881.963
37,7 Dec 2013 11:56:20.067,7 Dec 2013 12:12:07.956,947.888
38,7 Dec 2013 13:35:07.484,7 Dec 2013 13:50:32.250,924.766
39,7 Dec 2013 15:14:16.675,7 Dec 2013 15:28:31.763,855.088
40,7 Dec 2013 16:53:51.587,7 Dec 2013 17:07:04.006,792.419
41,7 Dec 2013 18:34:19.458,7 Dec 2013 18:46:28.138,728.679
42,7 Dec 2013 20:16:24.336,7 Dec 2013 20:26:13.777,589.441
43,8 Dec 2013 04:00:08.796,8 Dec 2013 04:14:56.819,888.022
44,8 Dec 2013 05:43:21.122,8 Dec 2013 05:58:20.003,898.881
45,8 Dec 2013 07:31:11.843,8 Dec 2013 07:41:30.737,618.893
46,8 Dec 2013 09:10:28.299,8 Dec 2013 09:23:56.051,807.752
47,8 Dec 2013 10:49:47.722,8 Dec 2013 11:04:27.975,880.253
48,8 Dec 2013 12:29:21.798,8 Dec 2013 12:44:19.111,897.313
49,8 Dec 2013 14:09:40.169,8 Dec 2013 14:24:22.590,882.421
50,8 Dec 2013 15:51:09.007,8 Dec 2013 16:05:17.120,848.112
51,8 Dec 2013 17:33:21.930,8 Dec 2013 17:49:51.661,989.730
52,9 Dec 2013 01:22:50.916,9 Dec 2013 01:34:08.346,677.430

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 06:35:02.499,3 Dec 2013 06:50:13.284,910.784
2,3 Dec 2013 08:18:59.867,3 Dec 2013 08:34:34.640,934.773
3,3 Dec 2013 10:09:32.029,3 Dec 2013 10:20:56.227,684.198
4,3 Dec 2013 11:50:27.588,3 Dec 2013 12:04:44.543,856.954
5,3 Dec 2013 13:29:06.203,3 Dec 2013 13:44:47.186,940.984
6,3 Dec 2013 15:08:09.490,3 Dec 2013 15:24:08.538,959.047
7,3 Dec 2013 16:47:45.289,3 Dec 2013 17:03:51.010,965.721
8,3 Dec 2013 18:28:12.994,3 Dec 2013 18:44:26.023,973.029
9,3 Dec 2013 20:09:42.654,3 Dec 2013 20:25:54.374,971.720
10,4 Dec 2013 03:57:59.008,4 Dec 2013 04:10:43.179,764.171
11,4 Dec 2013 05:38:33.323,4 Dec 2013 05:54:03.508,930.185
12,4 Dec 2013 07:21:51.114,4 Dec 2013 07:36:11.665,860.551
13,4 Dec 2013 09:02:32.015,4 Dec 2013 09:17:22.504,890.488
14,4 Dec 2013 10:42:29.363,4 Dec 2013 10:57:27.348,897.985
15,4 Dec 2013 12:22:24.380,4 Dec 2013 12:36:55.304,870.924
16,4 Dec 2013 14:03:14.768,4 Dec 2013 14:16:12.764,777.996
17,4 Dec 2013 15:46:19.516,4 Dec 2013 15:57:01.185,641.670
18,4 Dec 2013 17:29:30.803,4 Dec 2013 17:46:10.072,999.268
19,4 Dec 2013 19:15:49.874,4 Dec 2013 19:23:33.631,463.758
20,5 Dec 2013 03:00:46.495,5 Dec 2013 03:11:03.501,617.006
21,5 Dec 2013 04:40:29.218,5 Dec 2013 04:52:43.742,734.524
22,5 Dec 2013 06:19:40.139,5 Dec 2013 06:32:57.390,797.252
23,5 Dec 2013 07:57:59.448,5 Dec 2013 08:12:25.508,866.060
24,5 Dec 2013 09:35:56.118,5 Dec 2013 09:51:31.131,935.013
25,5 Dec 2013 11:15:10.197,5 Dec 2013 11:31:57.016,1006.819
26,5 Dec 2013 13:04:10.887,5 Dec 2013 13:18:59.951,889.064
27,5 Dec 2013 14:50:44.801,5 Dec 2013 15:07:31.929,1007.128
28,5 Dec 2013 16:36:42.679,5 Dec 2013 16:49:34.415,771.736
29,6 Dec 2013 08:39:03.500,6 Dec 2013 08:55:23.844,980.344
30,6 Dec 2013 10:25:09.558,6 Dec 2013 10:41:29.756,980.198
31,6 Dec 2013 12:13:07.389,6 Dec 2013 12:29:32.454,985.065
32,6 Dec 2013 13:59:17.959,6 Dec 2013 14:15:27.880,969.920
33,7 Dec 2013 06:04:07.545,7 Dec 2013 06:18:01.958,834.413
34,7 Dec 2013 07:46:55.750,7 Dec 2013 08:03:27.547,991.797
35,7 Dec 2013 09:35:55.557,7 Dec 2013 09:50:07.092,851.535
36,7 Dec 2013 11:22:49.649,7 Dec 2013 11:39:01.053,971.404
37,7 Dec 2013 13:02:08.665,7 Dec 2013 13:17:50.451,941.786
38,7 Dec 2013 14:41:11.502,7 Dec 2013 14:55:50.533,879.031
39,7 Dec 2013 16:20:35.779,7 Dec 2013 16:34:07.465,811.686
40,7 Dec 2013 18:00:41.968,7 Dec 2013 18:13:15.105,753.137
41,7 Dec 2013 19:42:07.878,7 Dec 2013 19:53:00.622,652.745
42,8 Dec 2013 03:28:49.047,8 Dec 2013 03:39:06.406,617.359
43,8 Dec 2013 05:07:44.017,8 Dec 2013 05:24:09.522,985.505
44,8 Dec 2013 06:58:10.732,8 Dec 2013 07:06:39.991,509.258
