"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 19:03:10.073,7 Mar 2014 19:16:57.453,827.380
2,7 Mar 2014 20:47:15.464,7 Mar 2014 21:04:02.261,1006.797
3,7 Mar 2014 22:33:11.742,7 Mar 2014 22:49:06.238,954.496

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 18:46:11.073,7 Mar 2014 18:58:47.059,755.986
2,7 Mar 2014 20:29:47.706,7 Mar 2014 20:46:23.328,995.622
3,7 Mar 2014 22:15:24.693,7 Mar 2014 22:31:38.286,973.593

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 18:30:23.761,7 Mar 2014 18:40:57.520,633.758
2,7 Mar 2014 20:12:23.062,7 Mar 2014 20:28:40.371,977.309
3,7 Mar 2014 21:57:40.291,7 Mar 2014 22:14:10.118,989.827
4,7 Mar 2014 23:44:29.421,7 Mar 2014 23:53:48.529,559.108

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 18:14:53.904,7 Mar 2014 18:23:21.740,507.836
2,7 Mar 2014 19:55:01.302,7 Mar 2014 20:10:52.805,951.504
3,7 Mar 2014 21:39:58.980,7 Mar 2014 21:56:41.085,1002.105
4,7 Mar 2014 23:26:40.784,7 Mar 2014 23:41:35.292,894.508

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 18:00:13.686,7 Mar 2014 18:04:02.067,228.381
2,7 Mar 2014 19:37:42.118,7 Mar 2014 19:53:00.092,917.974
3,7 Mar 2014 21:22:21.030,7 Mar 2014 21:39:10.520,1009.489
4,7 Mar 2014 23:08:50.806,7 Mar 2014 23:24:04.143,913.337

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 19:20:25.175,7 Mar 2014 19:35:01.757,876.582
2,7 Mar 2014 21:04:46.530,7 Mar 2014 21:21:37.788,1011.258
3,7 Mar 2014 22:51:00.748,7 Mar 2014 23:06:34.646,933.898

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 16:47:00.000,7 Mar 2014 16:56:58.770,598.770
2,7 Mar 2014 18:25:26.438,7 Mar 2014 18:38:00.998,754.560

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 18:07:31.820,7 Mar 2014 18:21:06.078,814.258

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 17:50:29.360,7 Mar 2014 18:04:12.255,822.895

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 17:33:30.496,7 Mar 2014 17:47:47.224,856.728

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 17:16:10.841,7 Mar 2014 17:31:19.554,908.713
2,7 Mar 2014 19:00:58.649,7 Mar 2014 19:09:25.312,506.664

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 16:58:07.503,7 Mar 2014 17:14:26.605,979.102
2,7 Mar 2014 18:42:58.348,7 Mar 2014 18:54:25.496,687.148

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 23:05:00.051,7 Mar 2014 23:20:18.773,918.721

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 22:48:50.593,7 Mar 2014 23:03:21.726,871.133

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 22:32:52.696,7 Mar 2014 22:46:08.088,795.392

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 22:17:12.650,7 Mar 2014 22:28:31.520,678.870

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 22:02:07.345,7 Mar 2014 22:10:14.976,487.631
2,7 Mar 2014 23:37:42.618,7 Mar 2014 23:53:33.868,951.250

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Mar 2014 23:21:17.964,7 Mar 2014 23:37:02.287,944.324

