"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","adsb_out61-To-adsb_satrcvr2 - Flux Density (dBW/m^2)","adsb_out61-To-adsb_satrcvr2 - g/T (dB/K)","adsb_out61-To-adsb_satrcvr2 - C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
7 Mar 2014 19:03:10.073,23.979,1.090018,-139.896,-117.691323,-115.791471,-27.087869,8000.000,-96.1188,-87.0879,4.999751e-001
7 Mar 2014 19:04:10.000,23.979,1.090017,-139.131,-116.927202,-116.369335,-26.901613,8000.000,-95.9325,-86.9016,4.999745e-001
7 Mar 2014 19:05:10.000,23.979,1.090015,-138.354,-116.149638,-116.212837,-25.967551,8000.000,-94.9985,-85.9676,4.999716e-001
7 Mar 2014 19:06:10.000,23.979,1.090014,-137.591,-115.387254,-115.329745,-24.322075,8000.000,-93.3530,-84.3221,4.999657e-001
7 Mar 2014 19:07:10.000,23.979,1.090011,-136.889,-114.684748,-113.874100,-22.163924,8000.000,-91.1948,-82.1639,4.999560e-001
7 Mar 2014 19:08:10.000,23.979,1.090008,-136.310,-114.105520,-112.208097,-19.918693,8000.000,-88.9496,-79.9187,4.999431e-001
7 Mar 2014 19:09:10.000,23.979,1.090004,-135.928,-113.723883,-110.878915,-18.207874,8000.000,-87.2388,-78.2079,4.999307e-001
7 Mar 2014 19:10:10.000,23.979,1.090000,-135.807,-113.602815,-110.418810,-17.626700,8000.000,-86.6576,-77.6267,4.999259e-001
7 Mar 2014 19:11:10.000,23.979,1.089995,-135.970,-113.765297,-111.032642,-18.403014,8000.000,-87.4339,-78.4030,4.999322e-001
7 Mar 2014 19:12:10.000,23.979,1.089992,-136.386,-114.181802,-112.452691,-20.239569,8000.000,-89.2705,-80.2396,4.999451e-001
7 Mar 2014 19:13:10.000,23.979,1.089988,-136.990,-114.786173,-114.123782,-22.515031,8000.000,-91.5459,-82.5150,4.999578e-001
7 Mar 2014 19:14:10.000,23.979,1.089986,-137.709,-115.504565,-115.514381,-24.624021,8000.000,-93.6549,-84.6240,4.999669e-001
7 Mar 2014 19:15:10.000,23.979,1.089984,-138.480,-116.275864,-116.291161,-26.172101,8000.000,-95.2030,-86.1721,4.999723e-001
7 Mar 2014 19:16:10.000,23.979,1.089983,-139.262,-117.057810,-116.324057,-26.986943,8000.000,-96.0178,-86.9869,4.999748e-001
7 Mar 2014 19:16:57.453,23.979,1.089982,-139.871,-117.666328,-115.824122,-27.095526,8000.000,-96.1264,-87.0955,4.999751e-001
7 Mar 2014 20:47:15.464,23.979,1.090023,-139.867,-117.662505,-115.838397,-27.105977,8000.000,-96.1369,-87.1060,4.999751e-001
7 Mar 2014 20:48:15.000,23.979,1.090023,-138.853,-116.649117,-116.411502,-26.665695,8000.000,-95.6966,-86.6657,4.999738e-001
7 Mar 2014 20:49:15.000,23.979,1.090023,-137.698,-115.494276,-115.509108,-24.608459,8000.000,-93.6394,-84.6085,4.999668e-001
7 Mar 2014 20:50:15.000,23.979,1.090023,-136.376,-114.172244,-112.432840,-20.210160,8000.000,-89.2411,-80.2102,4.999449e-001
7 Mar 2014 20:51:15.000,23.979,1.090022,-134.844,-112.639654,-106.098508,-12.343237,8000.000,-81.3741,-72.3432,4.998638e-001
7 Mar 2014 20:52:15.000,23.979,1.090021,-133.050,-110.845495,-94.803931,0.745499,8000.000,-68.2854,-59.2545,4.993852e-001
7 Mar 2014 20:53:15.000,23.979,1.090019,-130.963,-108.758568,-76.170526,21.465830,8000.000,-47.5651,-38.5342,4.933212e-001
7 Mar 2014 20:54:15.000,23.979,1.090014,-128.712,-106.507384,-49.038510,50.849031,8000.000,-18.1819,-9.1510,3.109583e-001
7 Mar 2014 20:55:15.000,23.979,1.090005,-127.037,-104.832450,-23.804866,77.757608,8000.000,8.7267,17.7576,4.408740e-028
7 Mar 2014 20:56:15.000,23.979,1.089993,-127.288,-105.083691,-27.872306,73.438927,8000.000,4.4080,13.4389,1.521393e-011
7 Mar 2014 20:57:15.000,23.979,1.089984,-129.209,-107.005180,-55.683272,43.706473,8000.000,-25.3244,-16.2935,4.142250e-001
7 Mar 2014 20:58:15.000,23.979,1.089980,-131.457,-109.252468,-81.117642,16.024814,8000.000,-53.0061,-43.9752,4.964301e-001
7 Mar 2014 20:59:15.000,23.979,1.089979,-133.480,-111.275798,-97.885921,-2.766794,8000.000,-71.7977,-62.7668,4.995897e-001
7 Mar 2014 21:00:15.000,23.979,1.089978,-135.212,-113.007720,-107.876263,-14.489059,8000.000,-83.5200,-74.4891,4.998936e-001
