"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 04:02:52.854,3 Dec 2013 04:06:10.668,197.814
2,3 Dec 2013 05:43:54.793,3 Dec 2013 06:00:31.602,996.810
3,3 Dec 2013 07:32:04.169,3 Dec 2013 07:44:08.807,724.638
4,3 Dec 2013 13:01:21.714,3 Dec 2013 13:16:37.232,915.518
5,3 Dec 2013 14:43:35.235,3 Dec 2013 14:58:47.555,912.320
6,3 Dec 2013 16:26:45.975,3 Dec 2013 16:39:57.673,791.698
7,3 Dec 2013 18:12:38.480,3 Dec 2013 18:19:44.482,426.002
8,4 Dec 2013 02:56:12.586,4 Dec 2013 02:59:44.412,211.826
9,4 Dec 2013 04:38:04.992,4 Dec 2013 04:50:45.564,760.572
10,4 Dec 2013 06:23:02.154,4 Dec 2013 06:39:59.199,1017.045
11,4 Dec 2013 08:15:50.228,4 Dec 2013 08:18:07.927,137.699
12,4 Dec 2013 13:46:12.019,4 Dec 2013 13:59:49.684,817.664
13,4 Dec 2013 15:27:36.923,4 Dec 2013 15:41:01.321,804.397
14,5 Dec 2013 03:44:26.429,5 Dec 2013 03:52:13.320,466.892
15,5 Dec 2013 05:20:42.764,5 Dec 2013 05:35:17.424,874.661
16,5 Dec 2013 07:02:32.649,5 Dec 2013 07:19:06.538,993.889
17,5 Dec 2013 14:31:44.064,5 Dec 2013 14:43:37.012,712.949
18,5 Dec 2013 16:11:33.422,5 Dec 2013 16:25:40.205,846.783
19,6 Dec 2013 04:29:59.130,6 Dec 2013 04:44:25.494,866.364
20,6 Dec 2013 06:08:00.911,6 Dec 2013 06:23:39.883,938.973
21,6 Dec 2013 07:47:44.937,6 Dec 2013 08:00:24.411,759.474
22,6 Dec 2013 15:17:25.166,6 Dec 2013 15:27:54.376,629.210
23,6 Dec 2013 16:56:01.356,6 Dec 2013 17:10:31.604,870.248
24,7 Dec 2013 03:39:14.643,7 Dec 2013 03:53:39.109,864.465
25,7 Dec 2013 05:17:08.800,7 Dec 2013 05:32:36.671,927.870
26,7 Dec 2013 06:58:21.364,7 Dec 2013 07:08:01.444,580.081
27,7 Dec 2013 16:02:54.634,7 Dec 2013 16:12:26.089,571.455
28,7 Dec 2013 17:40:40.581,7 Dec 2013 17:55:31.577,890.996
29,8 Dec 2013 01:12:21.334,8 Dec 2013 01:22:30.743,609.409
30,8 Dec 2013 02:48:01.607,8 Dec 2013 03:03:00.405,898.798
31,8 Dec 2013 04:26:16.362,8 Dec 2013 04:41:43.638,927.276
32,8 Dec 2013 06:08:04.803,8 Dec 2013 06:17:34.289,569.485
33,8 Dec 2013 16:48:11.634,8 Dec 2013 16:56:44.361,512.727
34,8 Dec 2013 18:25:13.160,8 Dec 2013 18:40:32.117,918.957
35,9 Dec 2013 01:51:38.270,9 Dec 2013 02:06:25.135,886.865
36,9 Dec 2013 03:35:21.691,9 Dec 2013 03:50:43.934,922.243
37,9 Dec 2013 05:16:44.092,9 Dec 2013 05:28:08.084,683.992
38,9 Dec 2013 17:33:32.348,9 Dec 2013 17:40:10.072,397.724
39,9 Dec 2013 19:09:24.311,9 Dec 2013 19:25:17.935,953.624
40,10 Dec 2013 02:30:07.592,10 Dec 2013 02:46:12.424,964.832
41,10 Dec 2013 04:16:53.472,10 Dec 2013 04:31:51.077,897.605

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:49:20.725,3 Dec 2013 01:52:08.313,167.587
2,3 Dec 2013 05:23:05.765,3 Dec 2013 05:38:51.284,945.519
3,3 Dec 2013 07:09:35.254,3 Dec 2013 07:24:06.880,871.626
4,3 Dec 2013 12:41:32.064,3 Dec 2013 12:54:56.281,804.217
5,3 Dec 2013 14:23:07.733,3 Dec 2013 14:38:31.976,924.243
6,3 Dec 2013 16:05:59.374,3 Dec 2013 16:19:46.224,826.850
7,3 Dec 2013 17:51:02.696,3 Dec 2013 18:00:05.033,542.337
8,4 Dec 2013 04:16:59.819,4 Dec 2013 04:28:06.470,666.651
9,4 Dec 2013 06:01:54.587,4 Dec 2013 06:18:45.922,1011.335
10,4 Dec 2013 07:50:32.638,4 Dec 2013 08:01:06.725,634.087
11,4 Dec 2013 13:27:18.679,4 Dec 2013 13:37:28.543,609.864
12,4 Dec 2013 15:06:36.838,4 Dec 2013 15:21:54.841,918.003
13,5 Dec 2013 03:26:46.542,5 Dec 2013 03:29:48.302,181.761
14,5 Dec 2013 05:01:10.282,5 Dec 2013 05:15:04.930,834.648
15,5 Dec 2013 06:41:16.487,5 Dec 2013 06:58:14.291,1017.804
16,5 Dec 2013 08:33:07.551,5 Dec 2013 08:35:58.296,170.746
17,5 Dec 2013 14:14:21.350,5 Dec 2013 14:20:09.829,348.479
18,5 Dec 2013 15:50:44.187,5 Dec 2013 16:06:23.019,938.831
19,6 Dec 2013 04:10:41.971,6 Dec 2013 04:24:10.257,808.286
20,6 Dec 2013 05:48:15.190,6 Dec 2013 06:04:02.079,946.889
21,6 Dec 2013 07:27:40.422,6 Dec 2013 07:41:14.976,814.555
22,6 Dec 2013 16:35:17.525,6 Dec 2013 16:51:06.353,948.827
23,7 Dec 2013 03:20:04.244,7 Dec 2013 03:33:28.911,804.667
24,7 Dec 2013 04:57:20.130,7 Dec 2013 05:13:02.885,942.756
25,7 Dec 2013 06:37:41.797,7 Dec 2013 06:49:24.649,702.852
26,7 Dec 2013 17:19:59.731,7 Dec 2013 17:35:56.754,957.023
27,8 Dec 2013 00:53:39.466,8 Dec 2013 01:02:03.753,504.286
28,8 Dec 2013 02:28:40.410,8 Dec 2013 02:43:03.810,863.400
29,8 Dec 2013 04:06:24.899,8 Dec 2013 04:22:07.804,942.905
30,8 Dec 2013 05:47:11.888,8 Dec 2013 05:58:52.827,700.939
31,8 Dec 2013 18:04:36.218,8 Dec 2013 18:20:43.517,967.299
32,9 Dec 2013 01:31:55.055,9 Dec 2013 01:44:19.672,744.617
33,9 Dec 2013 03:14:56.145,9 Dec 2013 03:31:03.177,967.032
34,9 Dec 2013 04:56:08.360,9 Dec 2013 05:08:52.030,763.669
35,9 Dec 2013 18:48:54.587,9 Dec 2013 19:05:11.439,976.852
36,10 Dec 2013 02:09:46.871,10 Dec 2013 02:24:26.887,880.016
37,10 Dec 2013 03:54:54.624,10 Dec 2013 04:10:54.730,960.106
38,10 Dec 2013 05:46:50.756,10 Dec 2013 05:56:36.885,586.129

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:24:31.211,3 Dec 2013 01:33:24.662,533.451
2,3 Dec 2013 05:02:27.685,3 Dec 2013 05:16:47.086,859.401
3,3 Dec 2013 06:47:40.871,3 Dec 2013 07:03:39.946,959.075
4,3 Dec 2013 12:22:13.467,3 Dec 2013 12:32:20.217,606.750
5,3 Dec 2013 14:02:23.888,3 Dec 2013 14:18:16.821,952.933
6,3 Dec 2013 15:45:17.517,3 Dec 2013 15:59:32.955,855.439
7,3 Dec 2013 17:29:44.200,3 Dec 2013 17:40:12.299,628.099
8,4 Dec 2013 03:55:38.927,4 Dec 2013 04:05:26.914,587.987
9,4 Dec 2013 05:40:54.064,4 Dec 2013 05:57:13.955,979.891
10,4 Dec 2013 07:27:51.779,4 Dec 2013 07:41:37.214,825.436
11,4 Dec 2013 14:46:01.520,4 Dec 2013 15:02:11.529,970.009
12,5 Dec 2013 04:41:42.940,5 Dec 2013 04:54:44.125,781.185
13,5 Dec 2013 06:20:07.319,5 Dec 2013 06:37:03.058,1015.740
14,5 Dec 2013 08:08:17.112,5 Dec 2013 08:19:01.368,644.256
15,5 Dec 2013 15:30:20.769,5 Dec 2013 15:46:32.020,971.251
16,6 Dec 2013 03:51:36.132,6 Dec 2013 04:03:42.213,726.082
17,6 Dec 2013 05:28:33.513,6 Dec 2013 05:44:18.314,944.801
18,6 Dec 2013 07:07:40.042,6 Dec 2013 07:21:59.595,859.554
19,6 Dec 2013 08:48:34.072,6 Dec 2013 08:56:54.829,500.757
20,6 Dec 2013 16:15:01.805,6 Dec 2013 16:31:09.925,968.120
21,7 Dec 2013 03:01:06.076,7 Dec 2013 03:13:07.840,721.765
22,7 Dec 2013 04:37:38.062,7 Dec 2013 04:53:22.241,944.179
23,7 Dec 2013 06:17:18.890,7 Dec 2013 06:30:29.296,790.406
24,7 Dec 2013 16:59:48.868,7 Dec 2013 17:15:54.265,965.397
25,8 Dec 2013 00:36:21.333,8 Dec 2013 00:40:22.165,240.832
26,8 Dec 2013 02:09:25.195,8 Dec 2013 02:23:03.208,818.013
27,8 Dec 2013 03:46:40.062,8 Dec 2013 04:02:27.118,947.056
28,8 Dec 2013 05:26:40.251,8 Dec 2013 05:39:51.212,790.961
29,8 Dec 2013 17:44:29.884,8 Dec 2013 18:00:31.884,962.000
30,9 Dec 2013 01:13:18.581,9 Dec 2013 01:21:10.182,471.600
31,9 Dec 2013 02:53:36.908,9 Dec 2013 03:10:36.708,1019.799
32,9 Dec 2013 04:35:44.777,9 Dec 2013 04:49:27.413,822.636
33,9 Dec 2013 18:28:55.118,9 Dec 2013 18:44:46.692,951.574
34,9 Dec 2013 20:15:39.845,9 Dec 2013 20:22:19.361,399.516
35,10 Dec 2013 01:49:57.530,10 Dec 2013 02:02:08.975,731.445
36,10 Dec 2013 03:33:14.654,10 Dec 2013 03:49:55.823,1001.168
37,10 Dec 2013 05:24:19.855,10 Dec 2013 05:35:03.451,643.596

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:01:25.408,3 Dec 2013 01:13:30.842,725.434
2,3 Dec 2013 04:42:01.920,3 Dec 2013 04:54:12.897,730.977
3,3 Dec 2013 06:26:09.587,3 Dec 2013 06:42:54.437,1004.850
4,3 Dec 2013 12:05:50.868,3 Dec 2013 12:06:18.314,27.446
5,3 Dec 2013 13:41:49.400,3 Dec 2013 13:58:13.512,984.112
6,3 Dec 2013 15:24:39.827,3 Dec 2013 15:39:18.444,878.617
7,3 Dec 2013 17:08:36.973,3 Dec 2013 17:20:11.952,694.980
8,4 Dec 2013 03:34:11.910,4 Dec 2013 03:43:03.644,531.734
9,4 Dec 2013 05:19:57.678,4 Dec 2013 05:35:22.918,925.240
10,4 Dec 2013 07:05:53.972,4 Dec 2013 07:21:27.964,933.992
11,4 Dec 2013 14:25:45.014,4 Dec 2013 14:41:57.447,972.433
12,5 Dec 2013 04:22:22.910,5 Dec 2013 04:34:12.473,709.563
13,5 Dec 2013 05:59:58.334,5 Dec 2013 06:15:34.355,936.021
14,5 Dec 2013 07:45:49.561,5 Dec 2013 07:59:40.730,831.169
15,5 Dec 2013 15:10:19.604,5 Dec 2013 15:26:11.001,951.398
16,5 Dec 2013 16:56:46.726,5 Dec 2013 17:00:11.535,204.809
17,6 Dec 2013 03:32:47.700,6 Dec 2013 03:42:55.412,607.711
18,6 Dec 2013 05:08:56.372,6 Dec 2013 05:24:28.146,931.774
19,6 Dec 2013 06:47:43.412,6 Dec 2013 07:02:38.561,895.149
20,6 Dec 2013 08:28:09.816,6 Dec 2013 08:38:22.555,612.739
21,6 Dec 2013 15:55:12.063,6 Dec 2013 16:10:44.812,932.749
22,6 Dec 2013 17:40:32.323,6 Dec 2013 17:46:06.590,334.267
23,7 Dec 2013 02:42:25.280,7 Dec 2013 02:52:31.106,605.826
24,7 Dec 2013 04:18:02.744,7 Dec 2013 04:33:34.901,932.157
25,7 Dec 2013 05:57:07.225,7 Dec 2013 06:11:21.157,853.932
26,7 Dec 2013 16:40:06.905,7 Dec 2013 16:55:25.443,918.538
27,7 Dec 2013 18:24:47.204,7 Dec 2013 18:32:02.750,435.546
28,8 Dec 2013 01:50:16.353,8 Dec 2013 02:02:58.161,761.809
29,8 Dec 2013 03:27:01.387,8 Dec 2013 03:42:42.130,940.743
30,8 Dec 2013 05:06:22.497,8 Dec 2013 05:20:37.003,854.506
31,8 Dec 2013 17:24:54.465,8 Dec 2013 17:39:56.893,902.428
32,8 Dec 2013 19:08:46.549,8 Dec 2013 19:18:15.446,568.897
33,9 Dec 2013 02:32:35.885,9 Dec 2013 02:49:24.338,1008.453
34,9 Dec 2013 04:15:30.322,9 Dec 2013 04:29:56.901,866.579
35,9 Dec 2013 05:59:03.932,9 Dec 2013 06:05:44.160,400.228
36,9 Dec 2013 18:09:28.334,9 Dec 2013 18:24:00.974,872.641
37,9 Dec 2013 19:52:16.569,9 Dec 2013 20:04:19.528,722.959
38,10 Dec 2013 01:31:14.058,10 Dec 2013 01:38:39.628,445.570
39,10 Dec 2013 03:11:53.406,10 Dec 2013 03:28:51.451,1018.045
40,10 Dec 2013 05:01:41.803,10 Dec 2013 05:13:50.093,728.290

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 04:21:55.142,3 Dec 2013 04:30:57.259,542.117
2,3 Dec 2013 06:04:55.405,3 Dec 2013 06:21:51.896,1016.491
3,3 Dec 2013 07:55:39.482,3 Dec 2013 08:03:19.798,460.316
4,3 Dec 2013 13:21:28.734,3 Dec 2013 13:37:40.812,972.078
5,3 Dec 2013 15:04:05.841,3 Dec 2013 15:19:03.169,897.328
6,3 Dec 2013 16:47:38.132,3 Dec 2013 17:00:06.575,748.443
7,3 Dec 2013 18:34:52.456,3 Dec 2013 18:38:50.185,237.729
8,4 Dec 2013 03:14:55.133,4 Dec 2013 03:21:35.331,400.199
9,4 Dec 2013 04:59:02.519,4 Dec 2013 05:13:12.864,850.345
10,4 Dec 2013 06:44:20.270,4 Dec 2013 07:00:53.705,993.435
11,4 Dec 2013 14:05:46.872,4 Dec 2013 14:21:12.338,925.465
12,4 Dec 2013 15:49:22.089,4 Dec 2013 15:59:09.700,587.611
13,5 Dec 2013 04:03:14.223,5 Dec 2013 04:13:25.540,611.317
14,5 Dec 2013 05:40:19.069,5 Dec 2013 05:55:23.287,904.219
15,5 Dec 2013 07:24:00.885,5 Dec 2013 07:39:37.246,936.362
16,5 Dec 2013 14:50:43.286,5 Dec 2013 15:05:17.054,873.768
17,5 Dec 2013 16:33:03.148,5 Dec 2013 16:44:08.050,664.902
18,6 Dec 2013 03:14:33.401,6 Dec 2013 03:21:33.247,419.846
19,6 Dec 2013 04:49:24.530,6 Dec 2013 05:04:30.893,906.363
20,6 Dec 2013 06:27:50.369,6 Dec 2013 06:43:11.999,921.630
21,6 Dec 2013 08:07:54.299,6 Dec 2013 08:19:27.315,693.016
22,6 Dec 2013 15:35:53.284,6 Dec 2013 15:49:46.171,832.887
23,6 Dec 2013 17:17:25.631,6 Dec 2013 17:29:12.707,707.076
24,7 Dec 2013 02:24:15.431,7 Dec 2013 02:31:25.506,430.075
25,7 Dec 2013 03:58:34.643,7 Dec 2013 04:13:40.715,906.073
26,7 Dec 2013 05:37:04.290,7 Dec 2013 05:52:03.077,898.787
27,7 Dec 2013 07:19:33.745,7 Dec 2013 07:26:03.167,389.422
28,7 Dec 2013 16:21:00.438,7 Dec 2013 16:34:24.170,803.731
29,7 Dec 2013 18:02:01.695,7 Dec 2013 18:14:28.314,746.619
30,8 Dec 2013 01:31:14.599,8 Dec 2013 01:42:47.844,693.245
31,8 Dec 2013 03:07:28.608,8 Dec 2013 03:22:53.176,924.568
32,8 Dec 2013 04:46:15.167,8 Dec 2013 05:01:13.801,898.633
33,8 Dec 2013 06:29:43.176,8 Dec 2013 06:35:31.255,348.079
34,8 Dec 2013 17:05:58.090,8 Dec 2013 17:18:50.934,772.844
35,8 Dec 2013 18:46:27.879,8 Dec 2013 18:59:51.089,803.210
36,9 Dec 2013 02:11:55.046,9 Dec 2013 02:28:02.638,967.592
37,9 Dec 2013 03:55:23.069,9 Dec 2013 04:10:22.073,899.004
38,9 Dec 2013 05:37:37.654,9 Dec 2013 05:47:10.275,572.621
39,9 Dec 2013 17:50:45.331,9 Dec 2013 18:02:43.704,718.372
40,9 Dec 2013 19:30:27.569,9 Dec 2013 19:45:04.002,876.433
41,10 Dec 2013 02:50:50.782,10 Dec 2013 03:07:38.400,1007.618
42,10 Dec 2013 04:39:10.334,10 Dec 2013 04:52:48.095,817.760

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 03:26:18.533,3 Dec 2013 03:40:37.205,858.672
2,3 Dec 2013 05:08:41.846,3 Dec 2013 05:20:33.914,712.068
3,3 Dec 2013 12:31:03.728,3 Dec 2013 12:47:53.886,1010.158
4,3 Dec 2013 14:19:07.383,3 Dec 2013 14:32:20.084,792.701
5,3 Dec 2013 16:04:48.414,3 Dec 2013 16:07:07.265,138.852
6,4 Dec 2013 04:10:49.053,4 Dec 2013 04:24:18.289,809.237
7,4 Dec 2013 05:52:10.013,4 Dec 2013 06:06:03.359,833.347
8,4 Dec 2013 11:28:34.317,4 Dec 2013 11:37:41.288,546.970
9,4 Dec 2013 13:10:20.587,4 Dec 2013 13:27:15.385,1014.798
10,4 Dec 2013 15:01:07.870,4 Dec 2013 15:11:23.784,615.915
11,4 Dec 2013 16:52:41.805,4 Dec 2013 17:00:04.841,443.035
12,4 Dec 2013 23:46:55.795,4 Dec 2013 23:56:32.023,576.228
13,5 Dec 2013 01:28:01.185,5 Dec 2013 01:42:16.689,855.504
14,5 Dec 2013 03:10:01.455,5 Dec 2013 03:26:03.778,962.323
15,5 Dec 2013 04:52:20.139,5 Dec 2013 05:08:43.791,983.652
16,5 Dec 2013 06:35:03.734,5 Dec 2013 06:50:36.705,932.971
17,5 Dec 2013 12:05:05.313,5 Dec 2013 12:19:14.483,849.170
18,5 Dec 2013 13:50:06.748,5 Dec 2013 14:06:03.580,956.832
19,5 Dec 2013 19:18:47.117,5 Dec 2013 19:33:54.133,907.017
20,5 Dec 2013 21:00:46.064,5 Dec 2013 21:16:28.938,942.874
21,5 Dec 2013 22:43:15.065,5 Dec 2013 22:59:36.890,981.825
22,6 Dec 2013 00:26:17.820,6 Dec 2013 00:42:36.702,978.881
23,6 Dec 2013 02:10:16.925,6 Dec 2013 02:25:05.206,888.282
24,6 Dec 2013 03:55:27.028,6 Dec 2013 04:07:06.011,698.983
25,6 Dec 2013 05:41:02.924,6 Dec 2013 05:49:14.191,491.267
26,6 Dec 2013 07:24:40.744,6 Dec 2013 07:32:37.792,477.048
27,6 Dec 2013 09:08:38.654,6 Dec 2013 09:15:33.461,414.807
28,6 Dec 2013 11:01:13.533,6 Dec 2013 11:05:13.450,239.918
29,6 Dec 2013 12:43:16.447,6 Dec 2013 12:59:36.677,980.230
30,6 Dec 2013 14:30:35.817,6 Dec 2013 14:43:52.486,796.669
31,6 Dec 2013 20:03:21.986,6 Dec 2013 20:16:24.514,782.528
32,6 Dec 2013 21:44:42.531,6 Dec 2013 21:59:14.771,872.240
33,6 Dec 2013 23:29:19.891,6 Dec 2013 23:38:40.251,560.360
34,7 Dec 2013 11:37:02.176,7 Dec 2013 11:49:36.646,754.470
35,7 Dec 2013 13:22:19.435,7 Dec 2013 13:39:17.570,1018.135
36,7 Dec 2013 15:12:04.478,7 Dec 2013 15:20:09.279,484.801
37,7 Dec 2013 20:49:17.416,7 Dec 2013 20:59:12.188,594.772
38,7 Dec 2013 22:28:16.289,7 Dec 2013 22:43:30.110,913.821
39,8 Dec 2013 10:47:28.503,8 Dec 2013 10:55:30.345,481.842
40,8 Dec 2013 12:23:28.718,8 Dec 2013 12:38:21.732,893.014
41,8 Dec 2013 14:01:53.529,8 Dec 2013 14:18:40.634,1007.105
42,8 Dec 2013 21:36:07.479,8 Dec 2013 21:42:17.925,370.446
43,8 Dec 2013 23:12:31.362,8 Dec 2013 23:28:04.423,933.061
44,9 Dec 2013 09:59:35.318,9 Dec 2013 10:03:09.329,214.011
45,9 Dec 2013 11:32:41.518,9 Dec 2013 11:47:30.009,888.491
46,9 Dec 2013 13:10:55.176,9 Dec 2013 13:26:19.203,924.028
47,9 Dec 2013 14:51:19.001,9 Dec 2013 15:02:12.690,653.690
48,9 Dec 2013 22:23:59.735,9 Dec 2013 22:24:50.522,50.787
49,9 Dec 2013 23:57:07.973,10 Dec 2013 00:12:51.643,943.671

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 03:07:44.084,3 Dec 2013 03:19:13.830,689.745
2,3 Dec 2013 04:46:57.011,3 Dec 2013 05:01:29.592,872.581
3,3 Dec 2013 12:10:20.076,3 Dec 2013 12:26:31.338,971.261
4,3 Dec 2013 13:57:03.412,3 Dec 2013 14:12:19.448,916.036
5,3 Dec 2013 15:42:15.849,3 Dec 2013 15:49:23.688,427.839
6,4 Dec 2013 03:52:36.065,4 Dec 2013 04:02:35.700,599.635
7,4 Dec 2013 05:30:46.897,4 Dec 2013 05:46:19.804,932.907
8,4 Dec 2013 12:49:12.663,4 Dec 2013 13:06:05.415,1012.753
9,4 Dec 2013 14:38:13.582,4 Dec 2013 14:50:40.397,746.814
10,4 Dec 2013 16:31:48.653,4 Dec 2013 16:37:46.583,357.930
11,4 Dec 2013 23:26:56.510,4 Dec 2013 23:34:59.008,482.498
12,5 Dec 2013 01:07:42.235,5 Dec 2013 01:21:19.598,817.362
13,5 Dec 2013 02:49:34.852,5 Dec 2013 03:05:24.785,949.934
14,5 Dec 2013 04:31:52.621,5 Dec 2013 04:48:15.903,983.282
15,5 Dec 2013 06:14:01.295,5 Dec 2013 06:30:21.370,980.075
16,5 Dec 2013 11:45:00.934,5 Dec 2013 11:56:35.652,694.718
17,5 Dec 2013 13:28:31.841,5 Dec 2013 13:45:14.964,1003.123
18,5 Dec 2013 18:58:40.578,5 Dec 2013 19:12:11.955,811.377
19,5 Dec 2013 20:40:19.251,5 Dec 2013 20:55:54.024,934.773
20,5 Dec 2013 22:22:43.122,5 Dec 2013 22:38:58.739,975.617
21,6 Dec 2013 00:05:37.563,6 Dec 2013 00:22:02.906,985.343
22,6 Dec 2013 01:49:23.486,6 Dec 2013 02:04:38.200,914.714
23,6 Dec 2013 03:34:19.987,6 Dec 2013 03:46:43.009,743.021
24,6 Dec 2013 05:19:59.905,6 Dec 2013 05:28:44.536,524.631
25,6 Dec 2013 07:04:11.683,6 Dec 2013 07:11:50.887,459.204
26,6 Dec 2013 08:45:45.718,6 Dec 2013 08:55:31.071,585.353
27,6 Dec 2013 12:22:28.641,6 Dec 2013 12:37:46.682,918.041
28,6 Dec 2013 14:08:25.837,6 Dec 2013 14:23:41.911,916.074
29,6 Dec 2013 19:44:21.302,6 Dec 2013 19:53:38.317,557.014
30,6 Dec 2013 21:23:52.504,6 Dec 2013 21:39:45.137,952.633
