"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:16:46.370,3 Dec 2013 01:32:32.205,945.836
2,3 Dec 2013 02:55:55.871,3 Dec 2013 03:11:51.364,955.493
3,3 Dec 2013 04:34:22.357,3 Dec 2013 04:50:11.494,949.137
4,3 Dec 2013 06:12:51.422,3 Dec 2013 06:28:49.455,958.033
5,3 Dec 2013 07:52:47.535,3 Dec 2013 08:08:17.986,930.452
6,3 Dec 2013 09:35:26.109,3 Dec 2013 09:48:50.484,804.374
7,3 Dec 2013 11:18:32.815,3 Dec 2013 11:33:52.509,919.694
8,3 Dec 2013 13:00:26.754,3 Dec 2013 13:14:06.545,819.791
9,3 Dec 2013 19:19:31.225,3 Dec 2013 19:23:21.379,230.154
10,3 Dec 2013 20:53:26.847,3 Dec 2013 21:08:45.303,918.456
11,3 Dec 2013 22:34:23.239,3 Dec 2013 22:48:48.570,865.331
12,4 Dec 2013 00:13:42.008,4 Dec 2013 00:27:17.048,815.041
13,4 Dec 2013 01:51:17.615,4 Dec 2013 02:05:21.196,843.581
14,4 Dec 2013 03:28:17.320,4 Dec 2013 03:43:47.025,929.704
15,4 Dec 2013 05:06:45.867,4 Dec 2013 05:22:13.657,927.790
16,4 Dec 2013 06:50:46.607,4 Dec 2013 07:04:32.252,825.645
17,4 Dec 2013 08:36:33.725,4 Dec 2013 08:52:48.932,975.207
18,4 Dec 2013 10:20:25.054,4 Dec 2013 10:35:14.456,889.402
19,5 Dec 2013 02:26:18.474,5 Dec 2013 02:41:09.394,890.920
20,5 Dec 2013 04:10:53.354,5 Dec 2013 04:28:01.904,1028.550
21,5 Dec 2013 05:57:22.579,5 Dec 2013 06:14:27.823,1025.245
22,5 Dec 2013 07:43:02.513,5 Dec 2013 07:57:58.037,895.524
23,6 Dec 2013 01:35:52.245,6 Dec 2013 01:51:41.710,949.465
24,6 Dec 2013 03:20:49.739,6 Dec 2013 03:37:54.013,1024.274
25,6 Dec 2013 05:07:01.228,6 Dec 2013 05:22:58.825,957.597
26,6 Dec 2013 23:00:58.117,6 Dec 2013 23:15:40.955,882.838
27,7 Dec 2013 00:44:15.497,7 Dec 2013 01:01:20.295,1024.798
28,7 Dec 2013 02:30:30.030,7 Dec 2013 02:46:23.245,953.215
29,7 Dec 2013 04:08:56.075,7 Dec 2013 04:24:22.903,926.828
30,7 Dec 2013 05:47:06.464,7 Dec 2013 06:02:23.649,917.186
31,7 Dec 2013 07:25:47.064,7 Dec 2013 07:41:37.337,950.273
32,7 Dec 2013 09:06:02.729,7 Dec 2013 09:22:22.927,980.198
33,7 Dec 2013 10:48:09.585,7 Dec 2013 11:04:41.326,991.741
34,7 Dec 2013 12:31:07.373,7 Dec 2013 12:46:41.064,933.691
35,7 Dec 2013 20:23:44.369,7 Dec 2013 20:38:19.593,875.225

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 02:06:27.587,3 Dec 2013 02:22:25.009,957.422
2,3 Dec 2013 03:45:12.822,3 Dec 2013 04:01:03.117,950.295
3,3 Dec 2013 05:23:31.777,3 Dec 2013 05:39:25.193,953.416
4,3 Dec 2013 07:02:32.991,3 Dec 2013 07:18:26.680,953.689
5,3 Dec 2013 08:43:43.804,3 Dec 2013 08:58:24.791,880.986
6,3 Dec 2013 10:27:49.908,3 Dec 2013 10:39:42.568,712.660
7,3 Dec 2013 12:09:04.222,3 Dec 2013 12:25:20.069,975.848
8,3 Dec 2013 20:03:50.993,3 Dec 2013 20:17:46.009,835.016
9,3 Dec 2013 21:44:05.776,3 Dec 2013 21:59:01.418,895.643
10,3 Dec 2013 23:24:16.151,3 Dec 2013 23:38:10.951,834.800
11,4 Dec 2013 01:02:40.726,4 Dec 2013 01:16:17.562,816.836
12,4 Dec 2013 02:39:44.525,4 Dec 2013 02:54:31.483,886.958
13,4 Dec 2013 04:17:12.371,4 Dec 2013 04:33:03.378,951.007
14,4 Dec 2013 05:57:18.201,4 Dec 2013 06:11:05.374,827.173
15,4 Dec 2013 07:44:12.644,4 Dec 2013 07:58:58.201,885.557
16,4 Dec 2013 09:28:26.176,4 Dec 2013 09:45:04.682,998.506
17,4 Dec 2013 11:13:46.733,4 Dec 2013 11:22:03.460,496.727
18,5 Dec 2013 01:37:31.505,5 Dec 2013 01:45:25.425,473.920
19,5 Dec 2013 03:18:01.271,5 Dec 2013 03:34:47.723,1006.452
20,5 Dec 2013 05:04:12.099,5 Dec 2013 05:21:18.000,1025.900
21,5 Dec 2013 06:50:13.376,5 Dec 2013 07:06:56.228,1002.852
22,5 Dec 2013 08:36:59.146,5 Dec 2013 08:46:12.656,553.510
23,6 Dec 2013 00:45:25.483,6 Dec 2013 00:57:57.641,752.158
24,6 Dec 2013 02:27:58.294,6 Dec 2013 02:44:49.881,1011.588
25,6 Dec 2013 04:13:53.704,6 Dec 2013 04:30:47.459,1013.754
26,6 Dec 2013 06:00:40.078,6 Dec 2013 06:13:36.855,776.777
27,6 Dec 2013 22:13:04.011,6 Dec 2013 22:21:32.357,508.346
28,6 Dec 2013 23:51:51.583,7 Dec 2013 00:08:30.905,999.322
29,7 Dec 2013 01:37:24.074,7 Dec 2013 01:54:29.423,1025.349
30,7 Dec 2013 03:19:45.591,7 Dec 2013 03:35:29.685,944.095
31,7 Dec 2013 04:58:01.648,7 Dec 2013 05:13:17.122,915.474
32,7 Dec 2013 06:36:18.433,7 Dec 2013 06:51:49.387,930.954
33,7 Dec 2013 08:15:40.384,7 Dec 2013 08:31:48.404,968.020
34,7 Dec 2013 09:56:53.869,7 Dec 2013 10:13:20.953,987.084
35,7 Dec 2013 11:39:43.810,7 Dec 2013 11:56:20.152,996.342
36,7 Dec 2013 13:23:06.104,7 Dec 2013 13:33:35.604,629.500
37,7 Dec 2013 19:37:19.884,7 Dec 2013 19:44:42.966,443.083
38,7 Dec 2013 21:13:43.763,7 Dec 2013 21:30:19.728,995.965

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 10:54:39.417,3 Dec 2013 11:09:12.650,873.232
2,3 Dec 2013 12:39:05.911,3 Dec 2013 12:56:13.580,1027.669
3,3 Dec 2013 14:25:46.907,3 Dec 2013 14:42:49.096,1022.189
4,3 Dec 2013 16:11:21.127,3 Dec 2013 16:27:08.472,947.346
5,4 Dec 2013 10:04:23.667,4 Dec 2013 10:19:47.429,923.763
6,4 Dec 2013 11:49:02.328,4 Dec 2013 12:06:06.298,1023.970
7,4 Dec 2013 13:35:09.796,4 Dec 2013 13:51:27.210,977.414
8,4 Dec 2013 15:24:12.785,4 Dec 2013 15:30:03.562,350.777
9,5 Dec 2013 07:30:21.368,5 Dec 2013 07:43:47.620,806.251
10,5 Dec 2013 09:12:41.442,5 Dec 2013 09:29:43.228,1021.787
11,5 Dec 2013 10:58:52.738,5 Dec 2013 11:16:01.982,1029.244
12,5 Dec 2013 12:39:34.395,5 Dec 2013 12:54:52.726,918.331
13,5 Dec 2013 14:17:44.210,5 Dec 2013 14:32:34.085,889.875
14,5 Dec 2013 15:56:08.120,5 Dec 2013 16:11:28.369,920.249
15,5 Dec 2013 17:35:53.638,5 Dec 2013 17:51:57.946,964.308
16,5 Dec 2013 19:17:30.646,5 Dec 2013 19:33:57.148,986.503
17,5 Dec 2013 21:00:36.925,5 Dec 2013 21:16:52.416,975.491
