"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:16:46.370,3 Dec 2013 01:32:32.205,945.836
2,3 Dec 2013 02:55:55.871,3 Dec 2013 03:11:51.364,955.493
3,3 Dec 2013 04:34:22.357,3 Dec 2013 04:50:11.494,949.137
4,3 Dec 2013 06:12:51.422,3 Dec 2013 06:28:49.455,958.033
5,3 Dec 2013 07:52:47.535,3 Dec 2013 08:08:17.986,930.452
6,3 Dec 2013 09:35:26.109,3 Dec 2013 09:48:50.484,804.374
7,3 Dec 2013 11:18:32.815,3 Dec 2013 11:33:52.509,919.694
8,3 Dec 2013 13:00:26.754,3 Dec 2013 13:14:06.545,819.791
9,3 Dec 2013 19:19:31.225,3 Dec 2013 19:23:21.379,230.154
10,3 Dec 2013 20:53:26.847,3 Dec 2013 21:08:45.303,918.456
11,3 Dec 2013 22:34:23.239,3 Dec 2013 22:48:48.570,865.331
12,4 Dec 2013 00:13:42.008,4 Dec 2013 00:27:17.048,815.041
13,4 Dec 2013 01:51:17.615,4 Dec 2013 02:05:21.196,843.581
14,4 Dec 2013 03:28:17.320,4 Dec 2013 03:43:47.025,929.704
15,4 Dec 2013 05:06:45.867,4 Dec 2013 05:22:13.657,927.790
16,4 Dec 2013 06:50:46.607,4 Dec 2013 07:04:32.252,825.645
17,4 Dec 2013 08:36:33.725,4 Dec 2013 08:52:48.932,975.207
18,4 Dec 2013 10:20:25.054,4 Dec 2013 10:35:14.456,889.402
19,5 Dec 2013 02:26:18.474,5 Dec 2013 02:41:09.394,890.920
20,5 Dec 2013 04:10:53.354,5 Dec 2013 04:28:01.904,1028.550
21,5 Dec 2013 05:57:22.579,5 Dec 2013 06:14:27.823,1025.245
22,5 Dec 2013 07:43:02.513,5 Dec 2013 07:57:58.037,895.524
23,6 Dec 2013 01:35:52.245,6 Dec 2013 01:51:41.710,949.465
24,6 Dec 2013 03:20:49.739,6 Dec 2013 03:37:54.013,1024.274
25,6 Dec 2013 05:07:01.228,6 Dec 2013 05:22:58.825,957.597
26,6 Dec 2013 23:00:58.117,6 Dec 2013 23:15:40.955,882.838
27,7 Dec 2013 00:44:15.497,7 Dec 2013 01:01:20.295,1024.798
28,7 Dec 2013 02:30:30.030,7 Dec 2013 02:46:23.245,953.215
29,7 Dec 2013 04:08:56.075,7 Dec 2013 04:24:22.903,926.828
30,7 Dec 2013 05:47:06.464,7 Dec 2013 06:02:23.649,917.186
31,7 Dec 2013 07:25:47.064,7 Dec 2013 07:41:37.337,950.273
32,7 Dec 2013 09:06:02.729,7 Dec 2013 09:22:22.927,980.198
33,7 Dec 2013 10:48:09.585,7 Dec 2013 11:04:41.326,991.741
34,7 Dec 2013 12:31:07.373,7 Dec 2013 12:46:41.064,933.691
35,7 Dec 2013 20:23:44.369,7 Dec 2013 20:38:19.593,875.225

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 02:22:58.405,3 Dec 2013 02:38:56.157,957.752
2,3 Dec 2013 04:01:36.536,3 Dec 2013 04:17:25.788,949.252
3,3 Dec 2013 05:39:56.620,3 Dec 2013 05:55:51.942,955.322
4,3 Dec 2013 07:19:13.680,3 Dec 2013 07:35:02.168,948.488
5,3 Dec 2013 09:00:52.775,3 Dec 2013 09:15:11.000,858.225
6,3 Dec 2013 10:45:21.868,3 Dec 2013 10:57:52.872,751.003
7,3 Dec 2013 12:26:04.623,3 Dec 2013 12:41:54.540,949.917
8,3 Dec 2013 20:19:54.500,3 Dec 2013 20:34:58.255,903.755
9,3 Dec 2013 22:00:54.143,3 Dec 2013 22:15:40.236,886.093
10,3 Dec 2013 23:40:47.857,3 Dec 2013 23:54:34.276,826.419
11,4 Dec 2013 01:18:54.986,4 Dec 2013 01:32:38.133,823.147
12,4 Dec 2013 02:55:53.980,4 Dec 2013 03:10:56.255,902.275
13,4 Dec 2013 04:33:38.427,4 Dec 2013 04:49:27.914,949.488
14,4 Dec 2013 06:14:28.061,4 Dec 2013 06:28:34.445,846.384
15,4 Dec 2013 08:01:45.120,4 Dec 2013 08:17:02.917,917.796
16,4 Dec 2013 09:45:43.151,4 Dec 2013 10:02:03.546,980.395
17,5 Dec 2013 01:53:03.292,5 Dec 2013 02:04:31.430,688.138
18,5 Dec 2013 03:35:33.134,5 Dec 2013 03:52:33.119,1019.985
19,5 Dec 2013 05:21:57.705,5 Dec 2013 05:39:03.318,1025.613
20,5 Dec 2013 07:07:48.208,5 Dec 2013 07:24:08.915,980.707
21,5 Dec 2013 08:56:33.055,5 Dec 2013 09:00:18.337,225.282
22,6 Dec 2013 01:01:58.004,6 Dec 2013 01:16:01.072,843.069
23,6 Dec 2013 02:45:32.381,6 Dec 2013 03:02:31.404,1019.022
24,6 Dec 2013 04:31:35.366,6 Dec 2013 04:48:17.957,1002.591
25,6 Dec 2013 06:18:57.032,6 Dec 2013 06:29:50.185,653.153
26,6 Dec 2013 22:28:28.314,6 Dec 2013 22:39:57.139,688.825
27,7 Dec 2013 00:09:11.890,7 Dec 2013 00:26:05.850,1013.960
28,7 Dec 2013 01:55:09.950,7 Dec 2013 02:12:16.142,1026.192
29,7 Dec 2013 03:36:09.717,7 Dec 2013 03:51:48.156,938.439
30,7 Dec 2013 05:14:23.013,7 Dec 2013 05:29:37.497,914.484
31,7 Dec 2013 06:52:45.673,7 Dec 2013 07:08:22.830,937.157
32,7 Dec 2013 08:32:24.521,7 Dec 2013 08:48:37.295,972.775
33,7 Dec 2013 10:13:56.666,7 Dec 2013 10:30:25.384,988.717
34,7 Dec 2013 11:56:58.413,7 Dec 2013 12:13:35.300,996.887
35,7 Dec 2013 13:41:33.567,7 Dec 2013 13:47:42.704,369.137
36,7 Dec 2013 19:52:07.366,7 Dec 2013 20:03:02.092,654.726
37,7 Dec 2013 21:30:53.628,7 Dec 2013 21:47:35.849,1002.222

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:49:55.325,3 Dec 2013 02:05:50.913,955.588
2,3 Dec 2013 03:28:48.254,3 Dec 2013 03:44:40.093,951.839
3,3 Dec 2013 05:07:08.056,3 Dec 2013 05:22:59.642,951.586
4,3 Dec 2013 06:45:55.984,3 Dec 2013 07:01:52.756,956.771
5,3 Dec 2013 08:26:40.020,3 Dec 2013 08:41:40.654,900.634
6,3 Dec 2013 10:10:18.212,3 Dec 2013 10:22:41.560,743.348
7,3 Dec 2013 11:52:08.970,3 Dec 2013 12:08:28.442,979.472
8,3 Dec 2013 13:35:51.821,3 Dec 2013 13:44:25.881,514.059
9,3 Dec 2013 19:48:11.794,3 Dec 2013 20:00:16.745,724.951
10,3 Dec 2013 21:27:15.021,3 Dec 2013 21:42:19.340,904.319
11,3 Dec 2013 23:07:41.419,3 Dec 2013 23:21:45.796,844.377
12,4 Dec 2013 00:46:23.982,4 Dec 2013 00:59:57.384,813.402
13,4 Dec 2013 02:23:35.722,4 Dec 2013 02:38:07.320,871.598
14,4 Dec 2013 04:00:50.564,4 Dec 2013 04:16:38.199,947.635
15,4 Dec 2013 05:40:19.100,4 Dec 2013 05:54:51.488,872.388
16,4 Dec 2013 07:26:32.749,4 Dec 2013 07:40:49.279,856.530
17,4 Dec 2013 09:11:09.768,4 Dec 2013 09:27:52.010,1002.242
18,4 Dec 2013 10:55:37.288,4 Dec 2013 11:07:02.982,685.693
