"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 04:02:52.854,3 Dec 2013 04:06:10.668,197.814
2,3 Dec 2013 05:43:54.793,3 Dec 2013 06:00:31.602,996.810
3,3 Dec 2013 07:32:04.169,3 Dec 2013 07:44:08.807,724.638
4,3 Dec 2013 13:01:21.714,3 Dec 2013 13:16:37.232,915.518
5,3 Dec 2013 14:43:35.235,3 Dec 2013 14:58:47.555,912.320
6,3 Dec 2013 16:26:45.975,3 Dec 2013 16:39:57.673,791.698
7,3 Dec 2013 18:12:38.480,3 Dec 2013 18:19:44.482,426.002
8,4 Dec 2013 02:56:12.586,4 Dec 2013 02:59:44.412,211.826
9,4 Dec 2013 04:38:04.992,4 Dec 2013 04:50:45.564,760.572
10,4 Dec 2013 06:23:02.154,4 Dec 2013 06:39:59.199,1017.045
11,4 Dec 2013 08:15:50.228,4 Dec 2013 08:18:07.927,137.699
12,4 Dec 2013 13:46:12.019,4 Dec 2013 13:59:49.684,817.664
13,4 Dec 2013 15:27:36.923,4 Dec 2013 15:41:01.321,804.397
14,5 Dec 2013 03:44:26.429,5 Dec 2013 03:52:13.320,466.892
15,5 Dec 2013 05:20:42.764,5 Dec 2013 05:35:17.424,874.661
16,5 Dec 2013 07:02:32.649,5 Dec 2013 07:19:06.538,993.889
17,5 Dec 2013 14:31:44.064,5 Dec 2013 14:43:37.012,712.949
18,5 Dec 2013 16:11:33.422,5 Dec 2013 16:25:40.205,846.783
19,6 Dec 2013 04:29:59.130,6 Dec 2013 04:44:25.494,866.364
20,6 Dec 2013 06:08:00.911,6 Dec 2013 06:23:39.883,938.973
21,6 Dec 2013 07:47:44.937,6 Dec 2013 08:00:24.411,759.474
22,6 Dec 2013 15:17:25.166,6 Dec 2013 15:27:54.376,629.210
23,6 Dec 2013 16:56:01.356,6 Dec 2013 17:10:31.604,870.248
24,7 Dec 2013 03:39:14.643,7 Dec 2013 03:53:39.109,864.465
25,7 Dec 2013 05:17:08.800,7 Dec 2013 05:32:36.671,927.870
26,7 Dec 2013 06:58:21.364,7 Dec 2013 07:08:01.444,580.081
27,7 Dec 2013 16:02:54.634,7 Dec 2013 16:12:26.089,571.455
28,7 Dec 2013 17:40:40.581,7 Dec 2013 17:55:31.577,890.996
29,8 Dec 2013 01:12:21.334,8 Dec 2013 01:22:30.743,609.409
30,8 Dec 2013 02:48:01.607,8 Dec 2013 03:03:00.405,898.798
31,8 Dec 2013 04:26:16.362,8 Dec 2013 04:41:43.638,927.276
32,8 Dec 2013 06:08:04.803,8 Dec 2013 06:17:34.289,569.485
33,8 Dec 2013 16:48:11.634,8 Dec 2013 16:56:44.361,512.727
34,8 Dec 2013 18:25:13.160,8 Dec 2013 18:40:32.117,918.957
35,9 Dec 2013 01:51:38.270,9 Dec 2013 02:06:25.135,886.865
36,9 Dec 2013 03:35:21.691,9 Dec 2013 03:50:43.934,922.243
37,9 Dec 2013 05:16:44.092,9 Dec 2013 05:28:08.084,683.992
38,9 Dec 2013 17:33:32.348,9 Dec 2013 17:40:10.072,397.724
39,9 Dec 2013 19:09:24.311,9 Dec 2013 19:25:17.935,953.624
40,10 Dec 2013 02:30:07.592,10 Dec 2013 02:46:12.424,964.832
41,10 Dec 2013 04:16:53.472,10 Dec 2013 04:31:51.077,897.605

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:32:28.398,3 Dec 2013 01:39:54.696,446.299
2,3 Dec 2013 05:09:19.133,3 Dec 2013 05:24:11.456,892.323
3,3 Dec 2013 06:54:56.029,3 Dec 2013 07:10:31.155,935.126
4,3 Dec 2013 12:28:34.348,3 Dec 2013 12:40:00.547,686.200
5,3 Dec 2013 14:09:18.965,3 Dec 2013 14:25:01.775,942.811
6,3 Dec 2013 15:52:10.985,3 Dec 2013 16:06:17.545,846.561
7,3 Dec 2013 17:36:48.919,3 Dec 2013 17:46:50.904,601.985
8,4 Dec 2013 04:02:48.259,4 Dec 2013 04:12:59.175,610.916
9,4 Dec 2013 05:47:53.641,4 Dec 2013 06:04:26.710,993.069
10,4 Dec 2013 07:35:19.039,4 Dec 2013 07:48:12.814,773.775
11,4 Dec 2013 13:15:50.077,4 Dec 2013 13:21:16.042,325.966
12,4 Dec 2013 14:52:51.048,4 Dec 2013 15:08:49.528,958.480
13,5 Dec 2013 04:48:11.372,5 Dec 2013 05:01:32.117,800.744
14,5 Dec 2013 06:27:09.849,5 Dec 2013 06:44:08.816,1018.967
15,5 Dec 2013 08:16:03.294,5 Dec 2013 08:25:10.903,547.609
16,5 Dec 2013 15:37:06.056,5 Dec 2013 15:53:12.397,966.341
17,6 Dec 2013 03:57:56.540,6 Dec 2013 04:10:33.256,756.715
18,6 Dec 2013 05:35:06.928,6 Dec 2013 05:50:53.587,946.659
19,6 Dec 2013 07:14:19.735,6 Dec 2013 07:28:25.361,845.626
20,6 Dec 2013 08:56:29.260,6 Dec 2013 09:02:33.330,364.070
21,6 Dec 2013 16:21:44.190,6 Dec 2013 16:37:51.905,967.714
22,7 Dec 2013 03:07:23.868,7 Dec 2013 03:19:56.292,752.424
23,7 Dec 2013 04:44:11.350,7 Dec 2013 04:59:56.535,945.185
24,7 Dec 2013 06:24:05.099,7 Dec 2013 06:36:49.365,764.266
25,7 Dec 2013 17:06:29.360,7 Dec 2013 17:22:37.950,968.590
26,8 Dec 2013 00:41:32.868,8 Dec 2013 00:48:16.786,403.918
27,8 Dec 2013 02:15:49.588,8 Dec 2013 02:29:43.880,834.291
28,8 Dec 2013 03:53:14.305,8 Dec 2013 04:09:01.182,946.877
29,8 Dec 2013 05:33:29.008,8 Dec 2013 05:46:13.398,764.390
30,8 Dec 2013 17:51:08.703,8 Dec 2013 18:07:18.221,969.518
31,9 Dec 2013 01:19:18.078,9 Dec 2013 01:29:05.895,587.817
32,9 Dec 2013 03:00:41.371,9 Dec 2013 03:17:39.533,1018.163
33,9 Dec 2013 04:42:31.506,9 Dec 2013 04:55:56.375,804.869
34,9 Dec 2013 18:35:31.554,9 Dec 2013 18:51:37.031,965.477
35,9 Dec 2013 20:25:07.978,9 Dec 2013 20:26:43.912,95.934
36,10 Dec 2013 01:56:29.422,10 Dec 2013 02:09:39.877,790.456
37,10 Dec 2013 03:40:25.881,10 Dec 2013 03:56:55.918,990.036
38,10 Dec 2013 05:31:51.762,10 Dec 2013 05:42:11.907,620.145

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:00:00.000,3 Dec 2013 01:06:48.658,408.658
2,3 Dec 2013 04:35:16.894,3 Dec 2013 04:46:33.173,676.279
3,3 Dec 2013 06:19:03.168,3 Dec 2013 06:35:55.485,1012.317
4,3 Dec 2013 13:35:01.046,3 Dec 2013 13:51:25.872,984.827
5,3 Dec 2013 15:17:48.103,3 Dec 2013 15:32:33.415,885.312
6,3 Dec 2013 17:01:36.528,3 Dec 2013 17:13:30.631,714.103
7,4 Dec 2013 03:27:44.494,4 Dec 2013 03:35:44.480,479.987
8,4 Dec 2013 05:12:59.316,4 Dec 2013 05:28:01.643,902.327
9,4 Dec 2013 06:58:40.590,4 Dec 2013 07:14:38.990,958.400
10,4 Dec 2013 14:19:03.488,4 Dec 2013 14:35:06.023,962.535
11,4 Dec 2013 16:05:09.424,4 Dec 2013 16:09:49.901,280.478
12,5 Dec 2013 04:15:58.463,5 Dec 2013 04:27:18.841,680.377
13,5 Dec 2013 05:53:24.957,5 Dec 2013 06:08:44.129,919.172
14,5 Dec 2013 07:38:30.292,5 Dec 2013 07:53:03.201,872.910
15,5 Dec 2013 15:03:44.413,5 Dec 2013 15:19:17.034,932.621
16,5 Dec 2013 16:48:13.741,5 Dec 2013 16:55:30.141,436.400
17,6 Dec 2013 03:26:37.574,6 Dec 2013 03:35:53.503,555.929
18,6 Dec 2013 05:02:25.122,6 Dec 2013 05:17:49.892,924.769
19,6 Dec 2013 06:41:05.333,6 Dec 2013 06:56:10.322,904.989
20,6 Dec 2013 08:21:23.844,6 Dec 2013 08:32:05.098,641.254
21,6 Dec 2013 15:48:41.851,6 Dec 2013 16:03:49.494,907.643
22,6 Dec 2013 17:32:26.163,6 Dec 2013 17:40:53.188,507.025
23,7 Dec 2013 02:36:17.329,7 Dec 2013 02:45:33.658,556.329
24,7 Dec 2013 04:11:32.539,7 Dec 2013 04:26:57.621,925.082
25,7 Dec 2013 05:50:25.357,7 Dec 2013 06:04:56.138,870.781
26,7 Dec 2013 07:34:55.517,7 Dec 2013 07:36:49.359,113.843
27,7 Dec 2013 16:33:40.178,7 Dec 2013 16:48:29.224,889.047
28,7 Dec 2013 18:16:55.029,7 Dec 2013 18:26:28.045,573.016
29,8 Dec 2013 01:43:54.927,8 Dec 2013 01:56:15.362,740.435
30,8 Dec 2013 03:20:29.817,8 Dec 2013 03:36:06.245,936.428
31,8 Dec 2013 04:59:39.007,8 Dec 2013 05:14:10.149,871.142
32,8 Dec 2013 17:18:30.590,8 Dec 2013 17:32:59.048,868.458
33,8 Dec 2013 19:01:09.482,8 Dec 2013 19:12:17.032,667.550
34,9 Dec 2013 02:25:39.897,9 Dec 2013 02:42:18.399,998.502
35,9 Dec 2013 04:08:47.176,9 Dec 2013 04:23:25.713,878.537
36,9 Dec 2013 05:51:49.569,9 Dec 2013 05:59:37.948,468.379
37,9 Dec 2013 18:03:08.154,9 Dec 2013 18:16:59.655,831.501
38,9 Dec 2013 19:44:53.691,9 Dec 2013 19:57:59.035,785.344
39,10 Dec 2013 01:25:49.418,10 Dec 2013 01:29:57.806,248.388
40,10 Dec 2013 03:04:50.451,10 Dec 2013 03:21:48.242,1017.791
41,10 Dec 2013 04:54:10.069,10 Dec 2013 05:06:48.532,758.463

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 03:26:18.533,3 Dec 2013 03:40:37.205,858.672
2,3 Dec 2013 05:08:41.846,3 Dec 2013 05:20:33.914,712.068
3,3 Dec 2013 12:31:03.728,3 Dec 2013 12:47:53.886,1010.158
4,3 Dec 2013 14:19:07.383,3 Dec 2013 14:32:20.084,792.701
5,3 Dec 2013 16:04:48.414,3 Dec 2013 16:07:07.265,138.852
6,4 Dec 2013 04:10:49.053,4 Dec 2013 04:24:18.289,809.237
7,4 Dec 2013 05:52:10.013,4 Dec 2013 06:06:03.359,833.347
8,4 Dec 2013 11:28:34.317,4 Dec 2013 11:37:41.288,546.970
9,4 Dec 2013 13:10:20.587,4 Dec 2013 13:27:15.385,1014.798
10,4 Dec 2013 15:01:07.870,4 Dec 2013 15:11:23.784,615.915
11,4 Dec 2013 16:52:41.805,4 Dec 2013 17:00:04.841,443.035
12,4 Dec 2013 23:46:55.795,4 Dec 2013 23:56:32.023,576.228
13,5 Dec 2013 01:28:01.185,5 Dec 2013 01:42:16.689,855.504
14,5 Dec 2013 03:10:01.455,5 Dec 2013 03:26:03.778,962.323
15,5 Dec 2013 04:52:20.139,5 Dec 2013 05:08:43.791,983.652
16,5 Dec 2013 06:35:03.734,5 Dec 2013 06:50:36.705,932.971
17,5 Dec 2013 12:05:05.313,5 Dec 2013 12:19:14.483,849.170
18,5 Dec 2013 13:50:06.748,5 Dec 2013 14:06:03.580,956.832
19,5 Dec 2013 19:18:47.117,5 Dec 2013 19:33:54.133,907.017
20,5 Dec 2013 21:00:46.064,5 Dec 2013 21:16:28.938,942.874
21,5 Dec 2013 22:43:15.065,5 Dec 2013 22:59:36.890,981.825
22,6 Dec 2013 00:26:17.820,6 Dec 2013 00:42:36.702,978.881
23,6 Dec 2013 02:10:16.925,6 Dec 2013 02:25:05.206,888.282
24,6 Dec 2013 03:55:27.028,6 Dec 2013 04:07:06.011,698.983
25,6 Dec 2013 05:41:02.924,6 Dec 2013 05:49:14.191,491.267
26,6 Dec 2013 07:24:40.744,6 Dec 2013 07:32:37.792,477.048
27,6 Dec 2013 09:08:38.654,6 Dec 2013 09:15:33.461,414.807
28,6 Dec 2013 11:01:13.533,6 Dec 2013 11:05:13.450,239.918
29,6 Dec 2013 12:43:16.447,6 Dec 2013 12:59:36.677,980.230
30,6 Dec 2013 14:30:35.817,6 Dec 2013 14:43:52.486,796.669
31,6 Dec 2013 20:03:21.986,6 Dec 2013 20:16:24.514,782.528
32,6 Dec 2013 21:44:42.531,6 Dec 2013 21:59:14.771,872.240
33,6 Dec 2013 23:29:19.891,6 Dec 2013 23:38:40.251,560.360
34,7 Dec 2013 11:37:02.176,7 Dec 2013 11:49:36.646,754.470
35,7 Dec 2013 13:22:19.435,7 Dec 2013 13:39:17.570,1018.135
36,7 Dec 2013 15:12:04.478,7 Dec 2013 15:20:09.279,484.801
37,7 Dec 2013 20:49:17.416,7 Dec 2013 20:59:12.188,594.772
38,7 Dec 2013 22:28:16.289,7 Dec 2013 22:43:30.110,913.821
39,8 Dec 2013 10:47:28.503,8 Dec 2013 10:55:30.345,481.842
40,8 Dec 2013 12:23:28.718,8 Dec 2013 12:38:21.732,893.014
41,8 Dec 2013 14:01:53.529,8 Dec 2013 14:18:40.634,1007.105
42,8 Dec 2013 21:36:07.479,8 Dec 2013 21:42:17.925,370.446
43,8 Dec 2013 23:12:31.362,8 Dec 2013 23:28:04.423,933.061
44,9 Dec 2013 09:59:35.318,9 Dec 2013 10:03:09.329,214.011
45,9 Dec 2013 11:32:41.518,9 Dec 2013 11:47:30.009,888.491
46,9 Dec 2013 13:10:55.176,9 Dec 2013 13:26:19.203,924.028
47,9 Dec 2013 14:51:19.001,9 Dec 2013 15:02:12.690,653.690
48,9 Dec 2013 22:23:59.735,9 Dec 2013 22:24:50.522,50.787
49,9 Dec 2013 23:57:07.973,10 Dec 2013 00:12:51.643,943.671

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 02:56:10.022,3 Dec 2013 03:04:15.838,485.816
2,3 Dec 2013 04:32:54.160,3 Dec 2013 04:48:26.223,932.063
3,3 Dec 2013 11:56:43.458,3 Dec 2013 12:12:07.549,924.091
4,3 Dec 2013 13:42:24.872,3 Dec 2013 13:58:16.486,951.614
5,3 Dec 2013 15:28:01.859,3 Dec 2013 15:36:50.238,528.379
6,4 Dec 2013 03:41:43.991,4 Dec 2013 03:46:59.411,315.420
7,4 Dec 2013 05:16:52.107,4 Dec 2013 05:32:59.259,967.152
8,4 Dec 2013 12:35:17.603,4 Dec 2013 12:51:51.593,993.990
9,4 Dec 2013 14:23:10.041,4 Dec 2013 14:36:51.105,821.064
10,4 Dec 2013 16:17:34.085,4 Dec 2013 16:22:27.383,293.299
11,4 Dec 2013 23:13:42.742,4 Dec 2013 23:20:29.085,406.343
12,5 Dec 2013 00:54:10.898,5 Dec 2013 01:07:18.760,787.861
13,5 Dec 2013 02:35:57.669,5 Dec 2013 02:51:37.216,939.548
14,5 Dec 2013 04:18:14.034,5 Dec 2013 04:34:36.241,982.207
15,5 Dec 2013 06:00:25.199,5 Dec 2013 06:16:44.837,979.638
16,5 Dec 2013 07:51:45.760,5 Dec 2013 07:54:29.730,163.971
17,5 Dec 2013 11:32:00.838,5 Dec 2013 11:40:56.399,535.561
18,5 Dec 2013 13:14:19.348,5 Dec 2013 13:31:14.889,1015.542
19,5 Dec 2013 15:06:01.600,5 Dec 2013 15:13:06.717,425.117
20,5 Dec 2013 18:45:25.258,5 Dec 2013 18:57:14.799,709.540
21,5 Dec 2013 20:26:41.947,5 Dec 2013 20:42:11.680,929.733
22,5 Dec 2013 22:09:02.471,5 Dec 2013 22:25:13.236,970.765
23,5 Dec 2013 23:51:51.882,6 Dec 2013 00:08:19.671,987.788
24,6 Dec 2013 01:35:29.507,6 Dec 2013 01:50:59.481,929.974
25,6 Dec 2013 03:20:16.459,6 Dec 2013 03:33:07.530,771.071
26,6 Dec 2013 05:05:55.793,6 Dec 2013 05:15:06.376,550.583
27,6 Dec 2013 06:50:28.440,6 Dec 2013 06:58:00.721,452.282
28,6 Dec 2013 08:32:19.110,6 Dec 2013 08:41:51.240,572.130
29,6 Dec 2013 12:08:41.369,6 Dec 2013 12:23:00.098,858.729
30,6 Dec 2013 13:53:55.544,6 Dec 2013 14:10:01.645,966.101
31,6 Dec 2013 19:33:01.696,6 Dec 2013 19:36:51.075,229.379
32,6 Dec 2013 21:10:09.648,6 Dec 2013 21:26:27.048,977.401
33,6 Dec 2013 22:54:25.435,6 Dec 2013 23:05:31.430,665.995
34,7 Dec 2013 11:03:44.080,7 Dec 2013 11:13:13.740,569.660
35,7 Dec 2013 12:47:14.003,7 Dec 2013 13:03:29.883,975.880
36,7 Dec 2013 14:33:56.803,7 Dec 2013 14:48:09.153,852.350
37,7 Dec 2013 21:54:09.503,7 Dec 2013 22:10:24.657,975.154
38,8 Dec 2013 11:51:00.265,8 Dec 2013 12:04:41.810,821.545
39,8 Dec 2013 13:28:58.468,8 Dec 2013 13:44:47.940,949.472
40,8 Dec 2013 15:14:02.113,8 Dec 2013 15:26:02.776,720.663
41,8 Dec 2013 22:38:43.442,8 Dec 2013 22:54:47.905,964.463
42,9 Dec 2013 11:00:35.189,9 Dec 2013 11:13:48.677,793.488
43,9 Dec 2013 12:37:55.937,9 Dec 2013 12:53:41.702,945.765
44,9 Dec 2013 14:17:33.900,9 Dec 2013 14:30:37.942,784.042
45,9 Dec 2013 23:23:32.302,9 Dec 2013 23:39:26.775,954.474

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 03:58:52.619,3 Dec 2013 04:15:02.101,969.482
2,3 Dec 2013 11:23:45.086,3 Dec 2013 11:35:11.062,685.976
3,3 Dec 2013 13:06:19.666,3 Dec 2013 13:23:10.496,1010.831
4,3 Dec 2013 14:53:15.819,3 Dec 2013 15:04:47.829,692.010
5,4 Dec 2013 04:43:05.120,4 Dec 2013 04:59:05.716,960.595
6,4 Dec 2013 06:30:17.037,4 Dec 2013 06:37:12.541,415.504
7,4 Dec 2013 12:01:09.474,4 Dec 2013 12:15:39.677,870.203
8,4 Dec 2013 13:46:16.005,4 Dec 2013 14:02:11.450,955.445
9,4 Dec 2013 15:39:52.462,4 Dec 2013 15:46:08.183,375.720
10,4 Dec 2013 17:28:10.361,4 Dec 2013 17:32:33.914,263.553
11,5 Dec 2013 00:20:28.049,5 Dec 2013 00:32:05.360,697.311
12,5 Dec 2013 02:01:57.198,5 Dec 2013 02:17:02.100,904.903
13,5 Dec 2013 03:44:07.344,5 Dec 2013 04:00:23.119,975.775
14,5 Dec 2013 05:26:24.290,5 Dec 2013 05:42:46.130,981.840
15,5 Dec 2013 07:11:28.534,5 Dec 2013 07:23:49.981,741.447
16,5 Dec 2013 12:39:20.126,5 Dec 2013 12:55:44.117,983.991
17,5 Dec 2013 14:27:01.231,5 Dec 2013 14:40:12.353,791.122
18,5 Dec 2013 18:14:31.855,5 Dec 2013 18:16:34.554,122.699
19,5 Dec 2013 19:52:40.880,5 Dec 2013 20:07:59.720,918.840
20,5 Dec 2013 21:34:52.909,5 Dec 2013 21:50:50.021,957.112
21,5 Dec 2013 23:17:31.268,5 Dec 2013 23:33:59.446,988.178
22,6 Dec 2013 01:00:50.056,6 Dec 2013 01:16:50.021,959.966
23,6 Dec 2013 02:45:12.662,6 Dec 2013 02:59:07.645,834.984
24,6 Dec 2013 04:30:41.664,6 Dec 2013 04:41:04.785,623.121
25,6 Dec 2013 06:15:55.633,6 Dec 2013 06:23:31.833,456.201
26,6 Dec 2013 07:58:36.105,6 Dec 2013 08:07:16.699,520.594
27,6 Dec 2013 11:34:30.112,6 Dec 2013 11:45:07.464,637.352
28,6 Dec 2013 13:18:17.531,6 Dec 2013 13:35:14.460,1016.929
29,6 Dec 2013 15:10:00.800,6 Dec 2013 15:15:28.024,327.224
30,6 Dec 2013 20:36:21.813,6 Dec 2013 20:52:13.750,951.937
31,6 Dec 2013 22:19:52.787,6 Dec 2013 22:32:10.769,737.982
32,7 Dec 2013 00:04:52.969,7 Dec 2013 00:11:20.866,387.897
33,7 Dec 2013 10:31:58.879,7 Dec 2013 10:37:47.154,348.275
34,7 Dec 2013 12:12:14.050,7 Dec 2013 12:26:52.748,878.698
35,7 Dec 2013 13:57:45.837,7 Dec 2013 14:14:13.513,987.676
36,7 Dec 2013 21:20:58.258,7 Dec 2013 21:35:52.408,894.151
37,7 Dec 2013 23:03:42.062,7 Dec 2013 23:14:45.349,663.287
38,8 Dec 2013 11:18:52.287,8 Dec 2013 11:30:32.996,700.710
39,8 Dec 2013 12:56:09.450,8 Dec 2013 13:11:42.072,932.622
40,8 Dec 2013 14:37:25.946,8 Dec 2013 14:53:01.996,936.050
41,8 Dec 2013 22:06:05.638,8 Dec 2013 22:20:03.159,837.520
42,8 Dec 2013 23:47:40.658,8 Dec 2013 23:59:40.497,719.838
43,9 Dec 2013 10:29:06.604,9 Dec 2013 10:39:27.885,621.281
44,9 Dec 2013 12:05:10.467,9 Dec 2013 12:20:45.952,935.485
45,9 Dec 2013 13:44:07.440,9 Dec 2013 13:58:38.515,871.075
46,9 Dec 2013 15:25:37.580,9 Dec 2013 15:33:07.848,450.269
47,9 Dec 2013 22:51:19.887,9 Dec 2013 23:04:35.587,795.700
48,10 Dec 2013 00:32:10.467,10 Dec 2013 00:44:45.005,754.538

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 08:14:08.163,3 Dec 2013 08:27:49.504,821.341
2,3 Dec 2013 09:55:25.775,3 Dec 2013 10:07:35.994,730.218
3,3 Dec 2013 20:36:39.612,3 Dec 2013 20:50:30.702,831.091
4,3 Dec 2013 22:14:14.218,3 Dec 2013 22:29:52.906,938.688
5,3 Dec 2013 23:54:39.215,4 Dec 2013 00:06:00.101,680.886
6,4 Dec 2013 08:59:19.872,4 Dec 2013 09:12:26.357,786.485
7,4 Dec 2013 10:40:01.255,4 Dec 2013 10:52:45.736,764.481
8,4 Dec 2013 18:11:29.173,4 Dec 2013 18:18:04.474,395.301
9,4 Dec 2013 19:45:34.083,4 Dec 2013 19:59:57.037,862.954
10,4 Dec 2013 21:23:20.872,4 Dec 2013 21:38:58.114,937.242
11,4 Dec 2013 23:04:31.116,4 Dec 2013 23:15:05.907,634.791
12,5 Dec 2013 09:44:22.503,5 Dec 2013 09:56:57.844,755.341
13,5 Dec 2013 11:24:33.393,5 Dec 2013 11:38:03.693,810.300
14,5 Dec 2013 18:51:40.961,5 Dec 2013 19:07:27.018,946.057
15,5 Dec 2013 20:32:24.432,5 Dec 2013 20:47:59.337,934.905
