"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:16:58.925,3 Dec 2013 01:30:45.174,826.249
2,3 Dec 2013 02:52:58.754,3 Dec 2013 03:06:59.293,840.539
3,3 Dec 2013 04:28:20.544,3 Dec 2013 04:42:14.471,833.927
4,3 Dec 2013 06:03:40.332,3 Dec 2013 06:17:42.201,841.869
5,3 Dec 2013 07:40:13.506,3 Dec 2013 07:53:52.027,818.521
6,3 Dec 2013 09:19:15.072,3 Dec 2013 09:30:50.255,695.183
7,3 Dec 2013 10:59:44.926,3 Dec 2013 11:11:18.220,693.294
8,3 Dec 2013 12:37:26.067,3 Dec 2013 12:50:45.441,799.374
9,3 Dec 2013 20:16:00.665,3 Dec 2013 20:28:46.505,765.840
10,3 Dec 2013 21:53:34.760,3 Dec 2013 22:06:21.605,766.845
11,3 Dec 2013 23:30:28.351,3 Dec 2013 23:42:13.811,705.460
12,4 Dec 2013 01:05:42.883,4 Dec 2013 01:17:14.936,692.053
13,4 Dec 2013 02:39:40.608,4 Dec 2013 02:52:28.766,768.158
14,4 Dec 2013 04:14:01.825,4 Dec 2013 04:27:57.289,835.464
15,4 Dec 2013 05:50:53.296,4 Dec 2013 06:02:50.340,717.044
16,4 Dec 2013 07:34:03.725,4 Dec 2013 07:46:02.114,718.389
17,4 Dec 2013 09:14:48.024,4 Dec 2013 09:29:27.411,879.387
18,4 Dec 2013 10:56:10.349,4 Dec 2013 11:04:58.739,528.389
19,5 Dec 2013 02:29:06.040,5 Dec 2013 02:41:54.259,768.219
20,5 Dec 2013 04:10:10.945,5 Dec 2013 04:25:12.532,901.587
21,5 Dec 2013 05:53:04.364,5 Dec 2013 06:08:03.543,899.180
22,5 Dec 2013 07:35:13.297,5 Dec 2013 07:48:23.551,790.254
23,6 Dec 2013 00:53:43.278,6 Dec 2013 01:04:43.904,660.626
24,6 Dec 2013 02:33:11.514,6 Dec 2013 02:47:59.766,888.252
25,6 Dec 2013 04:15:34.900,6 Dec 2013 04:30:20.600,885.699
26,6 Dec 2013 05:58:59.014,6 Dec 2013 06:09:28.821,629.807
27,6 Dec 2013 23:14:57.953,6 Dec 2013 23:28:21.433,803.481
28,7 Dec 2013 00:55:31.717,7 Dec 2013 01:10:31.114,899.397
29,7 Dec 2013 02:37:39.521,7 Dec 2013 02:51:37.080,837.559
30,7 Dec 2013 04:12:59.316,7 Dec 2013 04:26:25.947,806.631
31,7 Dec 2013 05:48:05.146,7 Dec 2013 06:01:21.269,796.124
32,7 Dec 2013 07:23:37.330,7 Dec 2013 07:37:26.414,829.084
33,7 Dec 2013 09:00:35.613,7 Dec 2013 09:14:54.874,859.261
34,7 Dec 2013 10:39:16.219,7 Dec 2013 10:53:46.217,869.999
35,7 Dec 2013 12:19:00.371,7 Dec 2013 12:32:56.949,836.578
36,7 Dec 2013 19:58:01.439,7 Dec 2013 20:07:31.832,570.393
37,7 Dec 2013 21:34:04.506,7 Dec 2013 21:48:43.364,878.858

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 01:00:00.000,3 Dec 2013 01:06:22.472,382.472
2,3 Dec 2013 02:29:02.827,3 Dec 2013 02:43:04.669,841.842
3,3 Dec 2013 04:04:32.507,3 Dec 2013 04:18:26.667,834.160
4,3 Dec 2013 05:39:46.840,3 Dec 2013 05:53:46.771,839.931
5,3 Dec 2013 07:15:53.770,3 Dec 2013 07:29:45.264,831.495
6,3 Dec 2013 08:54:13.064,3 Dec 2013 09:06:30.542,737.479
7,3 Dec 2013 10:35:22.746,3 Dec 2013 10:44:19.749,537.003
8,3 Dec 2013 12:12:39.751,3 Dec 2013 12:26:53.202,853.451
9,3 Dec 2013 19:53:06.277,3 Dec 2013 20:03:23.722,617.445
10,3 Dec 2013 21:29:08.213,3 Dec 2013 21:42:08.339,780.126
11,3 Dec 2013 23:06:23.604,3 Dec 2013 23:18:23.460,719.856
12,4 Dec 2013 00:42:03.782,4 Dec 2013 00:53:30.193,686.411
13,4 Dec 2013 02:16:13.765,4 Dec 2013 02:28:37.896,744.130
14,4 Dec 2013 03:50:17.645,4 Dec 2013 04:04:05.711,828.066
15,4 Dec 2013 05:26:17.613,4 Dec 2013 05:39:15.936,778.324
16,4 Dec 2013 07:08:21.771,4 Dec 2013 07:19:40.025,678.254
17,4 Dec 2013 08:49:45.788,4 Dec 2013 09:04:08.959,863.171
18,4 Dec 2013 10:30:19.765,4 Dec 2013 10:42:15.762,715.997
19,5 Dec 2013 02:04:53.176,5 Dec 2013 02:15:24.917,631.741
20,5 Dec 2013 03:44:32.470,5 Dec 2013 03:59:30.248,897.778
21,5 Dec 2013 05:27:25.271,5 Dec 2013 05:42:23.635,898.363
22,5 Dec 2013 07:09:39.110,5 Dec 2013 07:23:50.738,851.628
23,6 Dec 2013 00:30:28.045,6 Dec 2013 00:37:55.136,447.090
